效果	是否前缀	五行要求	等级要求	属性调整类别	参数1最小值	参数1最大值	参数2最小值	参数2最大值	参数3最小值	参数3最大值	效果说明
生命1				85	-50	50	-1	-1	0	0	0
生命2				85	120	200	-1	-1	0	0	0
生命3				85	160	240	-1	-1	0	0	0
生命4				85	300	400	-1	-1	0	0	0
内力1				89	-50	50	-1	-1	0	0	0
内力2				89	120	200	-1	-1	0	0	0
内力3				89	160	240	-1	-1	0	0	0
内力4				89	300	400	-1	-1	0	0	0
体力1				93	-50	50	-1	-1	0	0	0
体力2				93	120	200	-1	-1	0	0	0
体力3				93	160	240	-1	-1	0	0	0
体力4				93	300	400	-1	-1	0	0	0
回内1				92	-2	2	-1	-1	0	0	0
回内2				92	3	6	-1	-1	0	0	0
回内3				92	5	8	-1	-1	0	0	0
回内4				92	9	12	-1	-1	0	0	0
回血1				88	-2	2	-1	-1	0	0	0
回血2				88	3	6	-1	-1	0	0	0
回血3				88	5	8	-1	-1	0	0	0
回血4				88	9	12	-1	-1	0	0	0
回体1				96	-2	2	-1	-1	0	0	0
回体2				96	3	6	-1	-1	0	0	0
回体3				96	5	8	-1	-1	0	0	0
回体4				96	9	12	-1	-1	0	0	0
减少中毒时间1				108	-10	10	-1	-1	0	0	0
减少中毒时间2				108	25	40	-1	-1	0	0	0
减少中毒时间3				108	35	50	-1	-1	0	0	0
减少中毒时间4				108	60	80	-1	-1	0	0	0
减少眩晕时间1				110	-10	10	-1	-1	0	0	0
减少眩晕时间2				110	25	40	-1	-1	0	0	0
减少眩晕时间3				110	40	50	-1	-1	0	0	0
减少眩晕时间4				110	60	80	-1	-1	0	0	0
减少冰冻时间1				106	-10	10	-1	-1	0	0	0
减少冰冻时间2				106	25	40	-1	-1	0	0	0
减少冰冻时间3				106	35	50	-1	-1	0	0	0
减少冰冻时间4				106	60	80	-1	-1	0	0	0
打击回复1				113	20	30	-1	-1	0	0	0
打击回复2				113	25	40	-1	-1	0	0	0
打击回复3				113	35	50	-1	-1	0	0	0
打击回复4				113	40	60	-1	-1	0	0	0
外功攻速1				115	10	20	-1	-1	0	0	0
外功攻速2				115	20	40	-1	-1	0	0	0
外功攻速3				115	25	40	-1	-1	0	0	0
外功攻速4				115	30	60	-1	-1	0	0	0
外普%1				126	-25	25	-1	-1	6	6	0
外普%2				126	50	100	-1	-1	6	6	0
外普%3				126	80	120	-1	-1	6	6	0
外普%4				126	100	150	-1	-1	6	6	0
命中1				166	-100	100	-1	-1	0	0	0
命中2				166	180	300	-1	-1	0	0	0
命中3				166	240	360	-1	-1	0	0	0
命中4				166	450	600	-1	-1	0	0	0
力量1				97	-15	5	-1	-1	0	0	0
力量2				97	12	20	-1	-1	0	0	0
力量3				97	16	24	-1	-1	0	0	0
力量4				97	30	40	-1	-1	0	0	0
外功1				99	-15	5	-1	-1	0	0	0
外功2				99	12	20	-1	-1	0	0	0
外功3				99	16	24	-1	-1	0	0	0
外功4				99	30	40	-1	-1	0	0	0
内功1				100	-15	5	-1	-1	0	0	0
内功2				100	12	20	-1	-1	0	0	0
内功3				100	16	24	-1	-1	0	0	0
内功4				100	30	40	-1	-1	0	0	0
身法1				98	-15	5	-1	-1	0	0	0
身法2				98	12	20	-1	-1	0	0	0
身法3				98	16	24	-1	-1	0	0	0
身法4				98	30	40	-1	-1	0	0	0
外普点数1				121	30	50	-1	-1	0	0	0
外普点数2				121	40	60	-1	-1	0	0	0
外普点数3				121	50	60	-1	-1	0	0	0
外冰点数1				123	60	100	-1	-1	0	0	0
外冰点数2				123	80	120	-1	-1	0	0	0
外冰点数3				123	150	200	-1	-1	0	0	0
外毒点数1				125	20	30	-1	-1	0	0	0
外毒点数2				125			-1	-1	0	0	0
外毒点数3				125			-1	-1	0	0	0
火防1				102	-5	5	-1	-1	0	0	0
火防2				102	20	25	-1	-1	0	0	0
火防3				102	20	30	-1	-1	0	0	0
火防4				102	35	50	-1	-1	0	0	0
冰防1				105	-5	5	-1	-1	0	0	0
冰防2				105	15	25	-1	-1	0	0	0
冰防3				105	20	30	-1	-1	0	0	0
冰防4				105	35	50	-1	-1	0	0	0
雷防1				103	-5	5	-1	-1	0	0	0
雷防2				103	15	25	-1	-1	0	0	0
雷防3				103	25	30	-1	-1	0	0	0
雷防4				103	35	50	-1	-1	0	0	0
毒防1				101	-5	5	-1	-1	0	0	0
毒防2				101	15	25	-1	-1	0	0	0
毒防3				101	20	30	-1	-1	0	0	0
