LEVEL	OUTPUT_COEF	LINGPAI_PRICE	COUNT_DZLIM	PRISE_DZDOU	COUNT_NSLIM	PRISE_NSDOU	COUNT_COLLG	PRISE_COLLG	PRISE_AURA
0	0	0	0	0	0	0	0	0	0
1	0.008	5700	0.1	0.1	0.1	0.1	0.1	0.1	0
2	0.01	5400	0.12	0.2	0.12	0.2	0.12	0.2	0
3	0.012	5100	0.14	0.3	0.14	0.3	0.14	0.3	0
4	0.015	4800	0.16	0.4	0.16	0.4	0.16	0.4	0
5	0.02	4500	0.18	0.5	0.18	0.5	0.18	0.5	50
6	0.03	4200	0.2	0.6	0.2	0.6	0.2	0.6	65
7	0.04	3900	0.22	0.7	0.22	0.7	0.22	0.7	80
8	0.05	3600	0.24	0.8	0.24	0.8	0.24	0.8	100
9	0.06	3300	0.27	0.9	0.27	0.9	0.27	0.9	115
10	0.08	3000	0.3	1	0.3	1	0.3	1	130
