MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	±¸×¢
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Ph­îng T­êng
2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoa S¬n
3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	KiÕm C¸c T©y B¾c
4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Kim Quang ®éng
5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Kinh Hoµng ®éng
6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Táa V©n ®éng
7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÇn L¨ng
8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	L¨ng TÇn Thñy Hoµng
9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tr­êng Giang Nguyªn §Çu
10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Nh¹n Th¹ch ®éng
11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 Thµnh §«
12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§Þa ®¹o hËu viÖn TÝn T­íng tù
13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Nga My ph¸i
14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	M·nh Hæ ®éng
15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Gi¶ng Kinh §­êng
16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TiÒn ®iÖn
17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ChÝnh ®iÖn
18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	T¶ Thiªn ®iÖn
19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	KiÕm C¸c T©y Nam
20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Giang T©n Th«n
21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 Thanh Thµnh s¬n
22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	B¹ch V©n ®éng
23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ThÇn Tiªn ®éng
24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	H­ëng Thñy ®éng
25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§­êng M«n
26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tróc T¬ ®éng tÇng 1
27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tróc T¬ ®éng tÇng 2
