等级	经验	组队人数	直属率领人数	任命权个数
1	100	3	0	0
2	1000	3	0	0
3	2500	3	0	0
4	5000	3	0	0
5	10000	3	0	0
6	18000	4	0	0
7	28000	4	0	0
8	43000	4	0	0
9	63000	4	0	0
10	93000	4	0	0
11	132600	4	7	0
12	177900	5	7	0
13	229400	5	7	0
14	287700	5	7	0
15	353300	5	7	0
16	426800	5	7	0
17	508800	5	7	0
18	599900	5	7	0
19	700900	6	7	0
20	812500	6	7	0
21	915100	6	15	0
22	1027900	6	15	0
23	1151800	6	15	0
24	1287500	6	15	0
25	1435900	6	15	0
26	1598000	6	15	0
27	1774800	7	15	0
28	1967300	7	15	0
29	2176600	7	15	0
30	2371500	7	15	0
31	2583000	7	23	0
32	2812200	7	23	0
33	3060400	7	23	0
34	3328900	7	23	0
35	3619100	7	23	0
36	3932500	7	23	0
37	4270700	7	23	0
38	4635500	7	23	0
39	5028600	7	23	0
40	5451900	7	23	0
41	5850500	7	31	1
42	6279300	7	31	1
43	6740300	7	31	1
44	7235600	7	31	1
45	7767500	7	31	2
46	8338400	7	31	2
47	8950800	7	31	2
48	9607500	7	31	2
49	10311400	7	31	2
50	11065600	7	31	2
51	11873400	7	39	3
52	12738200	7	39	3
53	13663700	7	39	3
54	14653800	7	39	3
55	15712700	7	39	3
56	16844800	7	39	3
57	18054700	7	39	4
58	19347400	7	39	4
59	20728100	7	39	4
60	22101000	7	39	4
61	23636400	7	47	4
62	25353000	7	47	4
63	27271700	7	47	4
64	29415800	7	47	5
65	31811200	7	47	5
66	34486700	7	47	5
67	37474300	7	47	5
68	40809700	7	47	5
69	44532600	7	47	5
70	48687200	7	47	5
71	53533200	7	55	5
72	59184700	7	55	6
73	65774100	7	55	6
74	73455800	7	55	6
75	82409100	7	55	6
76	92842700	7	55	6
77	104999200	7	55	6
78	119160800	7	55	6
79	135655400	7	55	6
80	152943400	7	55	6
81	173073200	7	63	7
82	196508200	7	66	7
83	223787100	7	71	7
84	255535900	7	79	7
85	292481600	7	89	7
86	337338100	7	101	7
87	391791800	7	116	7
88	457887300	7	133	7
89	538103200	7	152	7
90	635443900	7	174	7
91	753550600	7	198	7
92	896836200	7	224	7
93	1070647800	7	253	7
94	1281464500	7	284	7
95	1537135800	7	318	7
96	1847170900	7	354	7
97	2223088500	7	392	7
98	2697829800	7	433	7
99	3321291100	7	476	7
100	4139977600	7	511	7
