名称	ItemGenre	DetailType	ParticularType	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值	魔法属性索引1(0级)	魔法属性索引1(10级)	魔法属性索引2(0级)	魔法属性索引2(10级)	魔法属性索引3(0级)	魔法属性索引3(10级)	魔法属性索引4(0级)	魔法属性索引4(10级)	魔法属性索引5(0级)	魔法属性索引5(10级)	魔法属性索引6(0级)	魔法属性索引6(10级)	所在套装	6级技能ID	10级技能ID	扩展套装	扩展套装序号	扩展套装隐藏属性1	扩展套装隐藏属性2
[天赐的]梦龙之正黄僧帽	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	白金装备	1	49999	10	0	30	360	360	31	85	85																36	120	32	160	39	0							2	616	171	171	46	591	311	598	599	601	155	155	1	768	798				
[天赐的]梦龙之金丝正红袈裟	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	白金装备	2	49999	10	0	30	720	720	31	90	90																36	120	32	260	39	0							2	616	40	675	170	170	307	637	6	609	324	324	1	846	851				
[天赐的]梦龙之玄丝法带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	白金装备	0	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							418	4	309	639	172	172	311	598	416	641	417	31	1	775	807				
[天赐的]梦龙之佛法玄佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	白金装备	4	49999	10	0																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			1	879	878				
[天赐的]梦龙之紫金般若戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	白金装备	0	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2	2	104	104	6	6	311	311					1						
[天赐的]伏魔之紫金棍	0	0	2	\spr\item\equip\closeweapon\obj-staff15.spr	11	1	4	白金装备	0	49999	10	0	28	69	69	29	128	128	167	-10	-10	31	99	99										36	120	32	180	39	0							48	592	43	43	52	625	71	594	113	595	155	155	2	766	767				
[天赐的]伏魔之无量金刚腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	白金装备	1	49999	10	0	30	720	720	31	90	90																36	120	32	260	39	0							2	2	306	306	175	175	307	307					2						
[天赐的]伏魔之乌金软绦	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	白金装备	3	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							418	4	309	639	177	177	311	598	416	641	417	31	2	776	808				
[天赐的]伏魔之佛心软扣	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	白金装备	1	49999	10	0																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			2	881	880				
[天赐的]伏魔之普渡僧鞋	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	白金装备	2	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2	616	325	325	320	588	88	419	6	609	437	309	2	848	852				
[天赐的]四空之降魔戒刀	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	白金装备	0	49999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	0							2	616	43	43	48	592	71	593	113	595	155	155	3	766	767				
[天赐的]四空之达摩僧鞋	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	白金装备	2	49999	10	0	30	720	720	31	90	90																36	120	32	260	39	0							2	2	306	306	178	178	317	317					3						
[天赐的]四空之护法腰带	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	白金装备	3	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2	616	309	639	177	177	311	598	416	641	425	643	3	777	809				
[天赐的]四空之软皮护腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	白金装备	1	49999	10	0	30	135	135	31	80	80																36	120	32	110	39	0							2	616	417	31	326	326	311	598	6	609	179	179	3	849	853				
[天赐的]四空之戒律法戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	白金装备	2	49999	10	0																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			3	883	882				
[天赐的]撼天之金环大眼神锤	0	0	4	\spr\item\equip\closeweapon\obj-adha05.spr	13	2	2	白金装备	2	49999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	120	32	235	39	1							135	135	50	599	46	592	69	593	110	111	73	73	4	766	767				
[天赐的]撼天之武神镶金甲	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	白金装备	0	49999	10	0	30	720	720	31	90	90																36	120	32	260	39	1							2	2	306	306	180	180	311	311					4						
[天赐的]撼天之威武束腰环	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	白金装备	4	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	309	639	191	191	311	598	416	641	156	156	4	779	811				
[天赐的]撼天之虎头紧束腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	白金装备	3	49999	10	0	30	135	135	31	80	80																36	120	32	110	39	1							129	129	130	130	747	739	748	740	741	749			4	879	878				
[天赐的]撼天之乘龙战靴	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	白金装备	1	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	320	588	192	192	419	638	319	678	190	190	4	846	855				
[天赐的]继业之奔雷钻龙枪	0	0	3	\spr\item\equip\closeweapon\obj-spear05.spr	12	1	4	白金装备	2	49999	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	120	32	165	33	165	39	1					57	620	51	625	46	592	69	593	110	111	73	73	5	766	767				
[天赐的]继业之玄武黄金铠	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	白金装备	0	49999	10	0	30	720	720	31	90	90																36	120	32	260	39	1							2	616	40	675	185	185	79	311	685	319	686	686	5	848	854				
