sourcename	targetname

Cung Binh ®éi tr­ëng 	Cung Binh ®éi tr­ëng

Bß bß mô 	Bß bß mô

Truy hån tÈu ®­êng rçi r·nh 	Truy hån tÈu ®­êng rçi r·nh

Cöa thµnh vÖ binh gi¸p 	Cöa thµnh vÖ binh gi¸p

Cöa thµnh vÖ binh Êt 	Cöa thµnh vÖ binh Êt

R­îu ®iÕm l·o b¶n n­¬ng 	R­îu ®iÕm l·o b¶n n­¬ng

Bµng vËt l·o b¶n n­¬ng 	Bµng vËt l·o b¶n n­¬ng

Thî rÌn häc ®å 	Thî rÌn häc ®å

B¹ch Hæ tinh 	B¹ch Hæ tinh

Ni c« thanh vµ 	Ni c« thanh vµ

SÊm ®¸nh 	SÊm ®¸nh

Ng©n nha 	Ng©n nha

§ao chĞm 	§ao chĞm

R¬i quang 	R¬i quang

Hµn th­¬ng 	Hµn th­¬ng

§o¹t ph¸ch 	§o¹t ph¸ch

Ph¸ch liªm 	Ph¸ch liªm

Phñ quang 	Phñ quang

S­¬ng ®ao 	S­¬ng ®ao

L·nh cung 	L·nh cung

S¹n vò 	S¹n vò

Hµng chuy 	Hµng chuy

Phi s­¬ng 	Phi s­¬ng

§o¹t hån 	§o¹t hån

Xİch ch­ëng 	Xİch ch­ëng

TuyÕt ¶nh 	TuyÕt ¶nh

§«ng b¾c hæ 	§«ng b¾c hæ

§éc bé 	§éc bé

Linh miªu 	Linh miªu

Lîn rõng 	Lîn rõng

Con nhİm 	Con nhİm

Ng­êi chÌo thuyÒn 	Ng­êi chÌo thuyÒn

TuÖ t©m s­ th¸i 	TuÖ t©m s­ th¸i

Ni c« 	Ni c«

Kh¸ch hµnh h­¬ng 	Kh¸ch hµnh h­¬ng

ThÇn bİ th­¬ng nh©n 	ThÇn bİ th­¬ng nh©n

Tr­¬ng thiÕt chñy 	Tr­¬ng thiÕt chñy

Töu b¶o 	Töu b¶o

R­îu ®iÕm l·o b¶n 	R­îu ®iÕm l·o b¶n

