key	value
G_THIEFSKILL_0	LÊy c¾p ng©n l­îng trong ng­êi cña %s vµ ñng hé %d l­îng cho tiÒn ph­¬ng
G_THIEFSKILL_1	LÊy c¾p thµnh c«ng ng©n l­îng cña %s, ñng hé %d l­îng cho tiÒn ph­¬ng! 
G_THIEFSKILL_2	LÊy c¾p thµnh c«ng
G_THIEFSKILL_3	LÊy c¾p thµnh c«ng
G_THIEFSKILL_4	%s cè lÊy c¾p tiÒn cña b¹n, nh­ng kh«ng thµnh c«ng! 
G_THIEFSKILL_5	B¹n kh«ng lÊy ®­îc ng©n l­îng cña %s! 
G_THIEFSKILL_6	Ch­a lÊy c¾p ®­îc
G_THIEFSKILL_7	Ch­a lÊy c¾p ®­îc
G_THIEFSKILL_8	ChØ sè sinh m¹ng hiÖn t¹i cña %s lµ: %d / %d 
G_THIEFSKILL_9	T×nh b¸o ®èi ph­¬ng
G_THIEFSKILL_10	ChØ sè néi lùc hiÖn t¹i cña %s lµ: %d / %d 
G_THIEFSKILL_11	Sè tiÒn %s hiÖn cã: %d l­îng 

G_FACTION_0	ThiÕu L©m ph¸i

G_S_GOLD	hÖ Kim
G_S_WOOD	hÖ Méc
G_S_WATER	hÖ Thñy
G_S_FIRE	hÖ Háa
G_S_EARTH	hÖ Thæ 
G_S_NONE	V« hÖ 

G_LUCKSTAR	AddGlobalNews ( [ [Chóc mõng! Chóc mõng! Ng­êi ch¬i: %s trë thµnh ng«i sao may m¾n cña ngµy h«m nay! ]]) ;

G_FACTION_NEW	Míi nhËp giang hå 
G_FACTION_OLD	giang hå hiÖp kh¸ch

G_PLAYERTONG_0	§· hÕt thêi gian ®Ó cho c¸c bang héi ®uæi bít ng­êi thi ®Êu
G_PLAYERTONG_1	§· hÕt thêi gian ®Ó cho c¸c bang héi ®uæi bít ng­êi thi ®Êu
G_PLAYERTONG_2	§· hÕt thêi gian ®Ó cho c¸c bang héi ®æi ng­êi
G_PLAYERTONG_3	B¹n ®· bÞ ®uæi khái bang héi
G_PLAYERTONG_4	Chøc vÞ cña b¹n trong bang héi ®· thay ®æi
G_PLAYERTONG_5	Kh«ng thÓ thay ®æi phe ph¸i trong liªn minh cña bang héi
G_PLAYERTONG_6	Mçi lÇn chØ gi÷ ®­îc nhiÒu nhÊt %d v¹n l­îng! 
G_PLAYERTONG_7	Mçi lÇn chØ lÊy ®­îc nhiÒu nhÊt %d v¹n l­îng! 
G_PLAYERTONG_8	Qu¸ nhiÒu tiÒn råi, kh«ng ®Ó thªm ®­îc! 
G_PLAYERTONG_9	Thêi gian thao t¸c ®· hÕt, kh«ng thÓ thiÕt lËp liªn minh! 
G_PLAYERTONG_10	 Minh Chñ 
G_PLAYERTONG_11	ChØ cã Bang chñ míi cã thÓ mêi gia nhËp liªn minh bang héi
G_PLAYERTONG_12	Thµnh viªn cña liªn minh bang héi nµy khéng thÓ gia nhËp liªn minh bang héi kh¸c
G_PLAYERTONG_13	 B¹n ®Õn gÆp %s xin phÐp gia nhËp liªn minh bang héi! 
G_PLAYERTONG_14	Bang héi ph¸t tiÒn, sè l­îng cã nhÇm lÉn
G_PLAYERTONG_15	Mçi ng­êi mçi lÇn chØ ®­îc ph¸t nhiÒu nhÊt mét øc (tøc mét tr¨m triÖu) l­îng
G_PLAYERTONG_16	ChØ cã Bang chñ míi cã thÓ ph¸t tiÒn
G_PLAYERTONG_17	ChØ cã thÓ ph¸t tiÒn cho c¸c héi viªn trùc tuyÕn (online) 

G_NPC_0	Nh©n vËt Nam 
G_NPC_1	Nh©n vËt N÷  
G_NPC_2	B¨ng
G_NPC_3	§éc
G_NPC_4	 Lo¹n 
G_NPC_5	H«n mª 

G_PLAYER_0	WriteLog([[PlayerIndex Error:%s:%s]])
G_PLAYER_1	Kh«ng thÓ sö dông ®iÓm kü n¨ng ®Ó th¨ng cÊp kü n¨ng %s cña b¹n
G_PLAYER_2	Th¨ng cÊp kü n¨ng thÊt b¹i
