sourcename	targetname
弓兵队长	弓兵队长
牛牛妈	牛牛妈
追魂叟唐闲	追魂叟唐闲
城门卫兵甲	城门卫兵甲
城门卫兵乙	城门卫兵乙
酒店老板娘	酒店老板娘
庞物老板娘	庞物老板娘
铁匠学徒	铁匠学徒
白虎精	白虎精
尼姑清和	尼姑清和
奔雷	奔雷
银牙	银牙
刀斩	刀斩
落光	落光
寒枪	寒枪
夺魄	夺魄
劈镰	劈镰
斧光	斧光
霜刀	霜刀
冷弓	冷弓
铲舞	铲舞
降锤	降锤
飞霜	飞霜
夺魂	夺魂
赤掌	赤掌
雪影	雪影
东北虎	东北虎
独步	独步
灵猫	灵猫
野猪	野猪
刺猬	刺猬
船夫	船夫
慧心师太	慧心师太
尼姑	尼姑
香客	香客
神秘商人	神秘商人
张铁嘴	张铁嘴
酒保	酒保
酒店老板	酒店老板
帐房先生	帐房先生
当铺老板	当铺老板
当铺伙计	当铺伙计
车夫	车夫
城门卫兵	城门卫兵
退任官员	退任官员
住客	住客
卖油货的	卖油货的
驿官	驿官
零贩	零贩
顾紫萍	顾紫萍
裁缝	裁缝
药店老板	药店老板
药店老板 	药店老板 
张小泉	张小泉
秦茹欣	秦茹欣
铁匠	铁匠
铁匠老板	铁匠老板
礼官	礼官
学徒	学徒
野叟	野叟
龙介生	龙介生
赌场打手	赌场打手
赌徒	赌徒
赌场老板	赌场老板
马贩子	马贩子
武林盟传人	武林盟传人
乞丐	乞丐
酒客甲	酒客甲
酒客乙	酒客乙
酒鬼	酒鬼
钱庄老板	钱庄老板
叶小玉	叶小玉
茶客	茶客
茶馆老板	茶馆老板
茶博士	茶博士
茶馆小二	茶馆小二
谢大爷	谢大爷
苏三娘	苏三娘
茶摊	茶摊
瞎婆婆	瞎婆婆
小川	小川
喜儿	喜儿
华员外	华员外
丝绸摊	丝绸摊
杂货店老板	杂货店老板
书画摊	书画摊
穷书生	穷书生
客栈小二	客栈小二
客栈老板	客栈老板
宫女甲	宫女甲
宫女乙	宫女乙
皇宫卫兵	皇宫卫兵
小太监	小太监
临安公差	临安公差
丁员外	丁员外
禁卫统领	禁卫统领
衙役	衙役
采药老者	采药老者
谢家媳妇	谢家媳妇
宠物店老板	宠物店老板
张浚	张浚
书生	书生
曹公公	曹公公
禁卫队长	禁卫队长
禁卫军	禁卫军
眼镜王蟒蛇	眼镜王蟒蛇
眼镜蛇	眼镜蛇
蛤蟆	蛤蟆
赤练蛇	赤练蛇
毒心	毒心
蛊惑	蛊惑
毒刺	毒刺
毒牙	毒牙
五毒教弟子	五毒教弟子
毒蝎	毒蝎
蜈蚣	蜈蚣
毒蜘蛛	毒蜘蛛
蜘蛛	蜘蛛
血蟾蜍	血蟾蜍
毒蟒	毒蟒
毒蜥蜴	毒蜥蜴
桑珠	桑珠
黑面郎君	黑面郎君
金蛇香主	金蛇香主
屠异	屠异
云不邪	云不邪
白莹莹	白莹莹
汤弼	汤弼	
谢保义	谢保义	
完颜天赐	完颜天赐	
沈艾冰	沈艾冰	
静慈	静慈	C鮱 Di猲
桃花隐士	桃花隐士	
唐三刀	唐三刀	
空惠	空惠	
冯君衡	冯君衡	
孟星瑶	孟星瑶	
叶飞	叶飞	
灰狼	灰狼	
雪豹	雪豹	
黄狼	黄狼	
叛贼	叛贼	
蓝巾	蓝巾	
流寇	流寇
穿山豹	穿山豹
野豹	野豹
长枪	长枪
髻匕	髻匕
飞镰	飞镰
金国秘使	金国秘使
夺命镰	夺命镰
山贼	山贼
影棍	影棍
狼棒	狼棒
平枪	平枪
快刀	快刀
强盗	强盗
火狼	火狼
罗宵七鬼	罗宵七鬼
云部山鹰	云部山鹰
云部鹰主	云部鹰主
雷部狂狼	雷部狂狼
雷部狼主	雷部狼主
黑巾	黑巾
金衣	金衣
双锋	双锋
金国刺客	金国刺客
雁荡派掌门	雁荡派掌门
雁荡派弟子	雁荡派弟子
狐狸	狐狸
豺狼	豺狼
猕猴	猕猴
梅花鹿	梅花鹿
白猪	白猪
金猫	金猫
官差	官差
翠烟花使	翠烟花使
五毒散人	五毒散人
谢青眉	谢青眉
霞儿	霞儿
昆仑护法	昆仑护法
峨嵋弟子	峨嵋弟子
少林罗汉	少林罗汉
钟离	钟离
唐门弟子	唐门弟子
攻城战接头人	攻城战接头人
章爷爷	章爷爷
天王帮众	天王帮众
李佳	李佳
戚允真	戚允真
彭放	彭放
天忍教徒	天忍教徒
武当弟子	武当弟子
丐帮弟子	丐帮弟子
苏红袖	苏红袖
孔晓	孔晓
孟婆婆	孟婆婆
沙袋	沙袋
木桩	木桩
木人	木人
武师	武师
浣熊	浣熊
静笃禅师	静笃禅师
阿福	阿福
沈驹	沈驹
田太婆	田太婆
赵百年	赵百年
万事通	万事通
闵四婶	闵四婶
王守义	王守义
彭大爷	彭大爷
奔火	奔火
赵银娣	赵银娣
闻慧	闻慧
谷之兰	谷之兰
前使王佐	前使王佐
天护法路云远	天护法路云远
猞猁	猞猁
大浣熊	大浣熊
左使古柏	左使古柏
地护法夏诚	地护法夏诚
文书	文书
右使杨湖	右使杨湖
钓鱼翁	钓鱼翁
孙道领	孙道领
水生	水生
渔妇荷嫂	渔妇荷嫂
天王帮主杨瑛	天王帮主杨瑛
鳄鱼	鳄鱼
金环蛇	金环蛇
火鳄	火鳄
水怪	水怪
铁爪	铁爪
行者	行者
蜥蜴精	蜥蜴精
屠人	屠人
游客	游客
罗家婶子	罗家婶子
顺水	顺水
天忍死士	天忍死士
渔民	渔民
沈九	沈九
九斤老爹	九斤老爹
方可为	方可为
杂货铺老板	杂货铺老板
唐门侍卫	唐门侍卫
天王将领	天王将领
峨嵋锦衣尼	峨嵋锦衣尼
武当道人	武当道人
俞九州	俞九州
吴神医	吴神医
小渔	小渔
阿芳	阿芳
古老太	古老太
火狐	火狐
无名僧	无名僧
骆英	骆英
陶然	陶然
卖药翁	卖药翁
卖兵器的人	卖兵器的人
冉翁	冉翁
小叶	小叶
仙狐	仙狐
火蜥蜴	火蜥蜴
铜锤	铜锤
秃鹫	秃鹫
苍鹰	苍鹰
