key	value
G_THIEFSKILL_0	%s 从你身上偷到%d两银子捐给前线!
G_THIEFSKILL_1	你成功的从%s 那里偷到%d两银子捐给前线!
G_THIEFSKILL_2	被偷成功 
G_THIEFSKILL_3	偷窃成功 
G_THIEFSKILL_4	%s 试图偷你的钱,但未成功!
G_THIEFSKILL_5	你偷%s 失败!
G_THIEFSKILL_6	被偷未遂
G_THIEFSKILL_7	偷窃未遂
G_THIEFSKILL_8	%s 当前生命值情况: %d / %d 
G_THIEFSKILL_9	对方情报
G_THIEFSKILL_10	%s 当前内力值情况: %d / %d 
G_THIEFSKILL_11	%s 当前现金情况: %d 两 

G_FACTION_0	少林派

G_S_GOLD	金系
G_S_WOOD	木系
G_S_WATER	水系
G_S_FIRE	火系
G_S_EARTH	土系
G_S_NONE	无系

G_LUCKSTAR	AddGlobalNews([[恭喜！恭喜！玩家:%s 成为本日的幸运之星!]]);

G_FACTION_NEW	初入江湖
G_FACTION_OLD	江湖游侠

G_PLAYERTONG_0	擂台赛期间帮会踢人操作被锁定！
G_PLAYERTONG_1	攻城战期间帮会踢人操作被锁定！
G_PLAYERTONG_2	帮会传位操作被锁定！
G_PLAYERTONG_3	您被踢出帮会！
G_PLAYERTONG_4	您在帮会中的职位发生了变化！
G_PLAYERTONG_5	帮会联盟中，不能修改阵营！
G_PLAYERTONG_6	每次最多只能存 %d 万两！
G_PLAYERTONG_7	每次最多只能取 %d 万两！
G_PLAYERTONG_8	取太多钱了，放不下！
G_PLAYERTONG_9	帮会操作被锁定，不能创建联盟！
G_PLAYERTONG_10	盟主
G_PLAYERTONG_11	帮主才能申请加入帮会联盟！
G_PLAYERTONG_12	帮会联盟成员不能加入别的帮会联盟！
G_PLAYERTONG_13	您向 %s 申请加入帮会联盟！
G_PLAYERTONG_14	帮会发钱数量错误！
G_PLAYERTONG_15	每人每次最多只能发 1 亿！
G_PLAYERTONG_16	帮主才能发钱！
G_PLAYERTONG_17	只能给在线的帮众发钱！

G_NPC_0	男主角
G_NPC_1	女主角
G_NPC_2	冰
G_NPC_3	毒
G_NPC_4	乱
G_NPC_5	晕

G_PLAYER_0	WriteLog([[PlayerIndex Error:%s:%s]])
G_PLAYER_1	您的%s技能无法使用技能点升级。
G_PLAYER_2	技能升级消息
G_PLAYER_3	您的%s技能等级已经达到极限，不能再升级了。
G_PLAYER_4	您的战斗技能必须达到%d级才能升级%s技能。
G_PLAYER_5	金元宝转为点数成功!
G_PLAYER_6	金元宝将在下次停机维护时转为点数!
G_PLAYER_7	金元宝转为25天成功!
G_PLAYER_8	金元宝将在下次停机维护时转为25天!
G_PLAYER_9	元宝转为20小时点数成功!
G_PLAYER_10	元宝将在下次停机维护时转为20小时点数
G_PLAYER_11	元宝转为10天成功!
G_PLAYER_12	元宝将在下次停机维护时转为10天!
G_PLAYER_13	系统消息
G_PLAYER_14	继续
G_PLAYER_15	完成
G_PLAYER_16	恭喜您！得了%d子对，赢得奖励%d两！
G_PLAYER_17	恭喜您！得了%d子刻，恭喜你，赢得大奖，并获得部分积累彩金，共计%d两！
G_PLAYER_18	恭喜您！得了%d %d %d 的顺子，赢得奖励%d两!
G_PLAYER_19	恭喜你，你获得了奖励!
G_PLAYER_20	银票转为点数成功!
G_PLAYER_21	银票将在下次停机维护时转为点数!
G_PLAYER_22	银票转为天数成功!
G_PLAYER_23	银票将在下次停机维护时转为天数!

G_PLAYER_24	交易取消，请检查背包金钱与交易获取的金钱总和是否超过上限!
G_PLAYER_25	交易取消，对方未符合交易条件!
G_PLAYER_26	你身受重伤，并自动重生!
G_PLAYER_27	您目前的摆摊许可时间为0，无法摆摊。
G_PLAYER_28	你耳边传来一个细若蚊蝇的声音：你积恶深重，官府已重金通缉你，如今四下都是要拿你归案的领赏钱的人，你可要小心别挂了。
G_PLAYER_29	您背包中的替身符帮助你抵御了一次致命伤害!
G_PLAYER_30	玩家[%s]，在[%s]的坐标[%d，%d]处，拾到了'%s'
