TrapId	Script
1	.\script\西南南区\天龙寺\天龙寺\trap\trap_todiancang.lua
2	.\script\西南南区\天龙寺\天龙寺\trap\trap_todaxiong.lua
3	.\script\西南南区\天龙寺\天龙寺\trap\trap_todizang.lua
4	.\script\西南南区\天龙寺\天龙寺\trap\trap_toyaoshi.lua
5	.\script\西南南区\天龙寺\天龙寺\trap\trap_tobanruo.lua
6	.\script\西南南区\天龙寺\天龙寺\trap\trap_tolongxiang.lua
7	.\script\西南南区\天龙寺\天龙寺\trap\trap_towuxiang.lua
8	.\script\西南南区\天龙寺\天龙寺\trap\trap_towuchen.lua
9	.\script\西南南区\天龙寺\天龙寺\trap\trap_toxumi.lua
10	.\script\西南南区\天龙寺\天龙寺\trap\trap_tojingxin.lua
11	.\script\西南南区\天龙寺\天龙寺\trap\trap_towuwo.lua
12	.\script\西南南区\天龙寺\天龙寺\trap\trap_changestate.lua
	













