X	Y
1636	3205
1641	3228
1645	3217
1648	3269
1637	3280
1627	3291
1615	3304
1614	3319
1614	3331
1621	3361
1626	3370
1619	3359
1633	3337
1632	3300
1641	3281
1657	3272
1661	3243
1677	3214
1690	3233
1701	3247
1708	3231
1692	3238
1694	3248
1698	3275
1698	3296
1707	3306
1697	3322
1699	3342
1685	3352
1669	3363
1675	3375
1686	3378
1692	3363
1704	3367
1705	3390
1694	3405
1675	3414
1664	3431
1657	3270
1639	3291
1631	3306
1657	3303
1670	3300
1690	3286
1703	3275
1705	3306
1708	3329
1695	3343
1690	3350
1690	3356
1683	3373
1663	3395
1659	3404
1669	3403
1680	3384
1688	3364
1693	3353
1707	3335
1716	3324
1725	3305
1732	3302
1737	3289
1745	3282
1747	3255
1747	3238
1756	3234
1763	3228
1768	3222
1772	3221
1782	3224
1790	3227
1797	3230
1791	3242
1808	3250
1808	3267
1811	3285
1798	3305
1802	3319
1811	3327
1809	3340
1802	3353
1801	3372
1783	3376
1765	3376
1758	3393
1736	3387
1729	3407
1721	3426
1708	3442
1707	3449
1707	3461
1718	3452
1724	3432
1730	3400
1729	3391
1803	3375
1820	3381
1836	3399
1844	3362
1861	3328
