XPOS	YPOS
37280	89760
37664	89824
42048	89952
42720	89888
43296	89760
43552	89824
37344	90304
37760	90432
37408	90784
38496	90432
39296	90336
39904	90816
39584	91040
40288	90144
40928	90112
40480	90528
40544	90880
41408	90176
41088	90336
41408	90464
41664	90208
41760	90624
41536	90976
42336	90880
42784	90304
42784	90752
43040	90240
43488	90720
43136	90752
43680	90432
43680	91040
37344	91328
37728	91648
37408	91808
37952	91136
39040	91168
39776	91680
40288	91328
40480	91200
40608	91392
41184	91232
41440	91328
40992	91776
41760	91392
41984	91136
41984	91744
42336	91872
42976	91136
42496	91200
42752	91424
42528	91648
42784	91808
42560	92128
43296	91136
37664	92256
37440	92608
38080	92160
37920	92736
37888	93120
40864	92736
40896	93120
40992	92224
41248	92320
41184	92928
41600	92224
41792	92736
41472	92864
41984	92224
42176	92576
42112	93088
42496	92608
43200	92384
43488	92832
43328	93056
43808	92896
37440	93184
37664	93408
40800	93376
41440	93440
41216	93696
41408	94048
41920	93344
41696	93408
41632	93888
42112	93568
42432	93792
42912	93600
42688	93824
43072	93280
43488	93280
43328	93504
43136	93856
43040	94144
43424	94304
43232	94336
43392	94880
43584	94496
40800	97472
40544	97632
40832	97824
40608	97952
40896	98208
41088	97824
41184	98176
41728	98240
40672	98368
41248	98624
40992	98688
41440	99040
41184	99104
41504	98496
41696	98848
41952	99200
42336	98368
42048	98592
42368	98784
42432	99136
42720	98464
42784	98848
43168	99072
41344	99488
41088	99968
41408	100064
41536	99552
42368	99872
42816	99328
42752	99840
43488	99360
43200	99648
43392	99808
43104	100064
43328	100192
43616	100192
