XPOS	YPOS
39264	93760
39392	94048
39456	93600
39616	93856
39872	94048
37824	94336
37856	95104
37984	94208
38112	94560
37920	94784
38048	94944
38176	95168
39680	94240
39520	94752
39840	94752
39776	95040
40320	94240
40160	95104
40544	94208
40768	94560
40480	94592
40608	94912
40768	94976
40960	94784
41120	95072
37984	95264
38336	95328
38112	95520
38272	95680
38816	95744
38464	95872
38592	96128
39168	95680
39264	96000
38912	96032
39456	95616
39520	96000
40000	95296
40640	95232
40768	95488
40960	95264
41216	95488
41472	95584
37760	96448
37920	96320
38048	96544
37888	96640
38208	96736
38048	96896
38656	96384
38432	96576
39360	96320
39008	96384
39680	96320
39840	96736
40096	96608
40192	96896
40000	96992
