XPOS	YPOS
40768	80640
40800	80640
40736	80672
40768	80672
40800	80672
40832	80672
40768	80704
40800	80704
40832	80704
40864	80704
40896	80704
40800	80736
40832	80736
40864	80736
40896	80736
40928	80736
40832	80768
40864	80768
40896	80768
40928	80768
40896	80800
40928	80800
40928	80832
40960	80768
40960	80800
40992	80800
40960	80832
40992	80832
41024	80832
40960	80864
40992	80864
41024	80864
41056	80864
40992	80896
41024	80896
41056	80896
41088	80896
41024	80928
41056	80928
41088	80928
41120	80928
41056	80960
41088	80960
41120	80960
41152	80960
41184	80960
41088	80992
41120	80992
41152	80992
41184	80992
41152	81024
41184	81024
40928	83232
40864	83264
40896	83264
40928	83264
40864	83296
40896	83296
40928	83296
40896	83328
40928	83328
41184	82944
41216	82944
41248	82944
41280	82944
41184	82976
41216	82976
41248	82976
41280	82976
41152	83008
41184	83008
41216	83008
41248	83008
41280	83008
41120	83040
41152	83040
41184	83040
41088	83072
41120	83072
41152	83072
41056	83104
41088	83104
41120	83104
41024	83136
41056	83136
41088	83136
40992	83168
41024	83168
41056	83168
40960	83200
40992	83200
41024	83200
40960	83232
40992	83232
40960	83264
38144	84768
38176	84768
38208	84768
38144	84800
38176	84800
38208	84800
38240	84800
38144	84832
38176	84832
38208	84832
38240	84832
38272	84832
38208	84864
38240	84864
38272	84864
38240	84896
38272	84896
38304	84896
38336	84896
38272	84928
38304	84928
38336	84928
38368	84928
38304	84960
38336	84960
38368	84960
38400	84960
38336	84992
38368	84992
38400	84992
38432	84992
38400	85024
38432	85024
38464	85024
38432	85056
38464	85056
38496	85056
38528	85056
38560	85056
38592	85056
38464	85088
38496	85088
38528	85088
38560	85088
38592	85088
38496	85120
38528	85120
38560	85120
38560	85152
