XPOS	YPOS
50208	88864
50624	88896
51264	88992
44544	90080
45888	90016
46464	89792
46208	89952
46880	89760
47264	89760
48000	89856
48448	89152
48192	89440
48288	89920
50336	89440
50368	89984
51104	89344
50688	89408
50688	90016
51488	89184
51328	89536
51616	89664
51456	90048
44288	90240
44128	90464
44416	90528
44128	90816
44480	91008
44128	91104
44832	90112
44768	90592
44704	90880
45824	90528
45984	90784
46464	90176
46080	90432
46336	90688
46592	90624
46880	90976
47232	90464
48224	90464
50016	90944
50272	90560
50592	90656
50368	91040
51584	90400
51424	90848
44480	91648
44192	91680
44768	91168
44832	91680
45280	91808
45920	91712
46560	91904
47040	91200
46688	91296
46880	91584
46944	92032
47456	91392
47200	91776
47488	91936
47712	91552
47872	91840
48128	91552
48480	91744
48256	91968
49792	91136
50016	91328
50080	91840
50240	91360
50464	91552
50656	91616
50304	91744
50624	92000
50336	92096
50688	91168
51584	91136
51392	91520
51584	91872
43968	92256
47072	92320
46592	92544
46816	92672
47392	92352
47232	92960
47680	92160
48032	92192
47648	92480
47840	92512
48000	92640
48416	92192
48192	92416
50592	92416
51424	92256
51552	92608
51360	93024
51584	93120
46944	93248
47200	93440
47616	93248
51360	93472
51584	93632
51328	93856
51552	94240
51264	94272
51296	94656
51584	94944
43712	95264
43968	95392
43808	95648
43872	96160
44064	95872
51616	95584
51424	95904
43904	96640
43968	97120
44128	96576
44448	96800
44160	96928
44352	97216
44640	97120
45440	97088
45664	96896
45920	97120
51520	96320
51360	96672
51552	96864
51424	97184
44672	97632
44832	98016
44544	98272
45280	97280
45152	97504
45472	97600
45312	97856
45184	98144
45536	98208
45600	97312
45760	97536
45664	97888
45824	98144
51648	97376
51424	97600
51616	97920
44096	98496
44224	99008
44640	98656
44864	98976
44576	99072
45312	98560
45472	98912
45120	98944
45312	99232
45696	98592
45856	99008
46080	98432
46336	98848
51616	98368
51392	98496
51616	98720
51456	99136
44416	99328
44256	99584
44032	99872
44320	100064
44992	99328
44832	99520
44576	99648
45344	99616
45120	99648
45184	100160
45920	99488
45632	99520
45664	99968
46240	99488
46880	100256
