XPOS	YPOS
46848	80256
46656	80416
46912	80544
46752	80800
47104	80064
47200	80288
47616	80576
47904	80576
48736	80480
46432	81440
46944	80960
46720	81216
47072	81344
46880	81504
46656	81696
47040	81856
47200	81632
48384	80928
48864	81408
49216	81056
49504	81824
50624	81888
50784	81504
50976	81792
46848	81984
47072	82272
47424	81952
47232	82112
47488	82368
47296	82528
47584	82816
47680	82208
47936	82496
47712	82656
48256	81952
48416	82272
48608	82688
48160	82784
48640	82176
48992	82496
49280	82080
49600	82304
49408	82656
49184	82912
50112	82272
49920	82464
49696	82592
50400	82272
50816	82048
47968	82976
47776	83104
48096	83360
48448	83008
48288	83232
48576	83456
48384	83648
48928	83040
48768	83296
48864	83712
49024	83936
