XPOS	YPOS
54016	94464
54144	94464
54080	94592
54016	94720
54144	94720
53824	95456
53952	95456
53888	95584
53824	95712
53952	95712
53984	96032
54112	96032
54048	96160
53984	96288
54112	96288
54752	92608
54752	92864
54400	93536
54528	93536
54464	93664
54400	93792
54528	93792
55232	91232
55232	91488
54880	92608
54816	92736
54880	92864
55040	92160
55168	92160
55104	92288
55040	92416
55168	92416
55616	90336
55744	90336
55680	90464
55616	90592
55744	90592
55360	91232
55296	91360
55360	91488
55744	92768
55744	93024
56096	89568
56224	89568
56160	89696
56096	89824
56224	89824
55872	92768
55808	92896
55872	93024
56192	93632
56256	93760
56192	93888
56160	96000
56288	96000
56224	96128
56160	96256
56288	96256
55840	98816
55968	98816
55904	98944
55840	99072
55968	99072
56288	99232
56288	99488
56608	89248
56736	89248
56672	89376
56608	89504
56736	89504
56320	93632
56320	93888
56672	94336
56800	94336
56736	94464
56672	94592
56800	94592
56576	95488
56704	95488
56640	95616
56576	95744
56704	95744
56800	98784
56800	99040
56416	99232
56352	99360
56416	99488
56864	89952
56992	89952
56928	90080
56864	90208
56992	90208
57120	90688
57248	90688
57184	90816
57120	90944
57248	90944
56960	94944
57088	94944
57024	95072
56960	95200
57088	95200
57216	95680
57280	95808
57216	95936
56928	98784
56864	98912
56928	99040
57536	91488
57664	91488
57600	91616
57536	91744
57664	91744
57440	94304
57568	94304
57504	94432
57440	94560
57568	94560
57344	95680
57344	95936
57408	96736
57536	96736
57472	96864
57408	96992
57536	96992
57792	98144
57600	97472
57728	97472
57664	97600
57600	97728
57728	97728
57792	98400
57344	98432
57472	98432
57408	98560
57344	98688
57472	98688
58112	92160
58240	92160
58176	92288
58112	92416
58240	92416
57920	93792
58048	93792
57984	93920
57920	94048
58048	94048
58304	93440
58304	93696
57920	98144
57856	98272
57920	98400
58560	92800
58688	92800
58624	92928
58560	93056
58688	93056
58432	93440
58368	93568
58432	93696
58720	94240
58848	94240
58784	94368
58720	94496
58848	94496
58400	98144
58528	98144
58464	98272
58400	98400
58528	98400
58912	93312
59040	93312
58976	93440
58912	93568
59040	93568
59040	95168
59168	95168
59104	95296
59040	95424
59168	95424
59328	95936
59328	96192
58912	97888
59040	97888
58976	98016
58912	98144
59040	98144
59456	95936
59392	96064
59456	96192
59680	96768
59808	96768
59744	96896
59680	97024
59808	97024
59392	97472
59520	97472
59456	97600
59392	97728
59520	97728
