XPOS	YPOS
57760	87968
57760	87712
57824	87840
57888	87968
57888	87712
58208	87328
58208	87072
58080	87328
58080	87072
58144	87200
58784	85920
58592	86784
58592	86528
58464	86784
58464	86528
58528	86656
58784	86176
58848	86048
58688	88896
58688	88640
58560	88896
58560	88640
58624	88768
59360	85824
59232	85824
59296	85952
58912	85920
59360	86080
59232	86080
58912	86176
59168	89952
59040	89952
59104	90080
59168	90208
59040	90208
59776	85632
59776	85376
59648	85632
59648	85376
59712	85504
59552	86912
59552	86656
59424	86912
59424	86656
59488	86784
59776	87648
59776	87392
59840	87520
59776	89888
59776	89632
59840	89760
59552	90816
59552	90560
59424	90816
59424	90560
59488	90688
60224	85440
60224	85184
60096	85440
60096	85184
60160	85312
59904	87648
59904	87392
60384	88608
60384	88352
60256	88608
60256	88352
60320	88480
59904	89888
59904	89632
60096	90976
60096	90720
59968	90976
59968	90720
60032	90848
60192	91744
60192	91488
60064	91744
60064	91488
60128	91616
60864	84896
60736	84896
60864	85152
60736	85152
60800	85024
60800	89376
60800	89120
60864	89248
60544	89984
60544	89728
60416	89984
60416	89728
60480	89856
60640	92000
60512	92000
60576	92128
60640	92256
60512	92256
61344	84800
61408	84928
61344	85056
61312	88992
61312	88736
61376	88864
60928	89376
60928	89120
61120	92928
61120	92672
60992	92928
60992	92672
61056	92800
61344	93600
61344	93344
61408	93472
61472	84800
61472	85056
61824	85536
61824	85280
61888	85408
61440	88992
61440	88736
61792	88384
61792	88128
61664	88384
61664	88128
61728	88256
61600	90080
61600	89824
61472	90080
61472	89824
61536	89952
61856	90720
61856	90464
61920	90592
61856	94016
61728	94016
61792	94144
61472	93600
61472	93344
61856	94272
61728	94272
61952	85536
61952	85280
62112	87872
62112	87616
61984	87872
61984	87616
62048	87744
61984	90720
61984	90464
62368	91456
62368	91200
62432	91328
62304	93760
62304	93504
62176	93760
62176	93504
62240	93632
62496	91456
62496	91200
62880	92032
62880	92288
62944	92160
62720	93056
62720	92800
62592	93056
62592	92800
62656	92928
63008	92032
63360	91872
63360	91616
63424	91744
63008	92288
63776	90976
63648	90976
63712	91104
63968	90528
63968	90272
63488	91872
63488	91616
63776	91232
63648	91232
64224	87936
64096	87936
64288	89024
64288	88768
64160	89024
64160	88768
64224	88896
64224	88192
64096	88192
64160	88064
64320	89760
64320	89504
64192	89760
64192	89504
64256	89632
64096	90528
64096	90272
64032	90400
