XPOS	YPOS
63584	85248
63616	85280
63648	85344
63552	85248
63552	85280
63584	85280
63584	85312
63616	85344
63616	85312
63648	85376
63680	85376
63680	85408
63712	85408
63712	85440
63744	85440
63744	85472
63776	85504
63744	85504
63776	85536
63808	85568
63776	85568
63808	85600
63840	85632
63808	85632
63840	85664
63872	85664
63872	85696
63904	85696
63904	85728
63872	85728
63904	85760
63904	85792
63872	85632
63840	85600
63808	85536
63776	85472
63648	85312
63744	85408
63808	85504
63712	85376
63680	85344
63584	85216
