XPOS	YPOS
44544	86528
44832	86880
46368	87008
48544	86688
44448	87104
44416	87520
44864	87200
44704	87456
44928	87520
44896	87776
44544	87968
46304	87456
46560	87616
46240	87968
46624	87200
46624	88032
48416	87296
48416	88000
48800	87040
48704	87840
44832	88192
45120	88352
45248	88864
45472	88896
46368	88352
46432	88864
46720	88512
46688	88832
48064	88928
48576	88320
48256	88512
48544	88864
45312	89344
45504	89952
45600	89440
46560	89568
46624	89248
47008	89728
46624	89984
47168	89504
47520	89760
47456	89984
47648	89280
47904	89440
48416	89120
48224	89248
48864	89472
48672	89600
48704	90016
49024	90016
44320	90720
44224	91104
44736	90688
44544	91008
44864	91072
45376	90752
45216	91008
45760	90272
45568	90656
45792	91008
46944	90112
46720	90496
47072	90720
46688	90944
47392	90432
48800	90368
49088	90496
48960	90976
44512	91360
44288	91616
44032	91648
44160	92000
45408	91296
47008	91136
46752	91552
47040	91744
46752	92032
48928	91648
49216	91360
43968	92320
44128	92448
44096	92832
44320	92928
46944	92256
46720	92480
46944	92704
46720	92864
48576	92160
48448	92672
48256	92992
48960	92224
48832	92544
48672	92768
44352	93344
44576	93504
44640	93888
44896	93952
44768	94176
45088	94112
46944	93184
46624	93280
48576	93280
48160	93376
48352	93696
44928	94336
44992	94688
45216	94432
