TRAPX	TRAPY
63360	110048
63360	110016
63392	109984
63360	109984
63392	109952
63360	109952
63424	109984
63392	110016
63424	110016
63424	110048
63456	110080
63456	110048
63456	110016
63424	110080
63456	110112
63392	109920
63360	109920
63328	109952
63328	109984
63488	110112
63488	110080
63520	110080
63520	110112
63520	110144
63488	110144
63552	110112
63552	110144
63552	110176
63552	110208
63584	110144
63584	110176
63584	110208
63616	110144
63616	110176
63616	110208
63616	110208
63616	110240
63584	110240
63648	110176
63648	110176
63648	110208
63648	110240
65920	112032
65952	112000
65952	112032
65984	112000
65984	112032
65952	112064
65984	112032
65984	112064
65952	111968
65984	111968
66016	111968
66016	111936
66016	112000
65920	112064
66048	111936
66048	111904
66080	111904
66048	111872
66080	111840
66112	111872
66080	111872
66112	111840
66144	111840
66144	111808
66176	111808
66176	111840
66176	111808
66176	111776
66208	111776
66208	111808
66208	111840
66208	111872
66176	111872
66144	111872
66112	111904
66080	111936
66048	111968
