XPOS	YPOS
38880	98208
38848	98240
38880	98240
38816	98272
38848	98272
38880	98272
39040	98048
39072	98048
39008	98080
39040	98080
39072	98080
38976	98112
39008	98112
39040	98112
38944	98144
38976	98144
39008	98144
38912	98176
38944	98176
38976	98176
38912	98208
38944	98208
38912	98240
38784	98304
38816	98304
38848	98304
40288	98656
40320	98656
40352	98656
40288	98688
40320	98688
40352	98688
40384	98688
40352	98720
40384	98720
40416	98720
40384	98752
40416	98752
40416	98784
40448	98752
40448	98784
40480	98784
40448	98816
40480	98816
40512	98816
40480	98848
40512	98848
40512	98880
41440	101920
41408	101952
41440	101952
41376	101984
41408	101984
41440	101984
41376	102016
41408	102016
41376	102048
41536	101824
41568	101824
41504	101856
41536	101856
41568	101856
41472	101888
41504	101888
41536	101888
41472	101920
41504	101920
41472	101952
