TRAPX	TRAPY
53120	121312
53120	121344
53152	121312
53152	121344
53184	121344
53184	121376
53216	121376
53216	121408
53216	121440
53184	121408
53152	121376
53120	121280
53120	121152
53120	121184
53152	121216
53120	121184
53152	121184
53152	121152
53184	121248
53184	121216
53184	121184
53216	121216
53216	121248
53216	121280
53248	121408
53248	121408
53248	121440
53280	121440
53280	121472
53280	121504
53312	121504
53312	121536
53312	121536
53312	121568
53344	121536
53344	121568
53344	121600
53248	121472
53248	121280
53248	121312
53248	121248
53280	121280
53280	121312
53280	121312
53280	121344
53312	121344
53312	121376
53312	121408
53344	121376
53344	121408
53344	121440
54496	122720
54496	122752
54496	122784
54528	122720
54528	122752
54528	122624
54528	122656
54528	122688
54528	122784
54496	122688
54560	122656
54560	122720
54560	122688
54560	122752
54560	122784
54560	122816
54592	122720
54592	122752
54592	122784
54592	122848
54592	122816
54592	122688
54624	122720
54624	122752
54624	122816
54624	122784
54624	122848
54656	122752
54656	122784
54656	122816
54656	122848
54688	122784
54688	122848
54688	122784
54720	122752
54720	122816
54688	122752
54656	122720
54624	122688
54592	122656
54560	122624
54528	122816
54496	122784
54496	122592
54528	122624
54496	122656
54496	122624
54688	122816
54720	122848
54720	122752
54624	122880
54656	122880
54656	122912
54688	122912
54688	122944
54688	122880
54720	122880
54720	122912
54720	122944
54720	122976
