TRAPX	TRAPY
53152	116448
53088	116288
53216	116160
53216	116320
53120	116128
53216	117728
53184	117888
53152	119392
53088	119232
53216	119104
53216	119264
53120	119072
53152	120544
53088	120384
53216	120256
53216	120416
53120	120224
53280	116480
53312	116256
53376	118080
53408	117856
53248	118048
53312	117760
53312	117920
53280	119424
53312	119200
53280	120576
53312	120352
54528	115552
54304	115584
54432	115456
54432	115616
54336	115424
54496	115776
54368	115744
54752	117280
54624	117248
54560	117088
54688	116960
54688	117120
54592	116928
54528	121088
54496	121312
54368	121280
54432	120992
54432	121152
54304	121120
54336	120960
55136	114816
55104	115040
54976	115008
54912	114848
55040	114720
55040	114880
54944	114688
54784	117056
55232	117728
55136	117696
55168	118016
55104	117856
55232	117888
55232	122080
55264	121920
55744	114080
55712	114304
55584	114272
55520	114112
55648	113984
55648	114144
55552	113952
55776	118368
55328	117824
55296	118048
55616	119968
55584	120192
55456	120160
55520	119872
55520	120032
55392	120000
55424	119840
55456	122048
55424	122272
55296	122240
55360	121952
55360	122112
56288	113568
56160	113536
56096	113376
56224	113248
56224	113408
56128	113216
55840	118528
55904	118240
55904	118400
55808	118208
55968	118560
56000	118336
56128	121760
56032	121728
56224	121856
56192	122080
56064	122048
56000	121888
56128	121920
56704	112544
56736	112384
56320	113344
56768	112704
56544	119136
56480	118976
56608	118848
56608	119008
56512	118816
56672	119168
56704	118944
56928	112512
56832	112416
56832	112576
56896	112736
57216	114880
57184	115104
57056	115072
57120	114784
57120	114944
56992	114912
57024	114752
57056	115904
57024	116128
56896	116096
56960	115808
56960	115968
56832	115936
56864	115776
57216	119648
57248	119488
57280	119808
57120	122144
57088	122368
56960	122336
56896	122176
57024	122048
57024	122208
56928	122016
57536	111552
57440	111520
57632	111648
57600	111872
57472	111840
57408	111680
57536	111712
57664	117312
57632	117536
57504	117504
57568	117216
57568	117376
57440	117344
57472	117184
57440	119616
57344	119520
57344	119680
57408	119840
57728	122464
57664	122304
57792	122176
57792	122336
57696	122144
58080	120672
58112	120448
57952	120640
57888	120480
58016	120352
58016	120512
57920	120320
57888	122272
57856	122496
58784	115616
58816	115936
58752	115776
58880	115648
58976	115744
58944	115968
58880	115808
59296	117472
59296	117632
59168	117600
59200	117440
59360	117792
59232	117760
59360	122112
59328	122336
59200	122304
59136	122144
59264	122016
59264	122176
59168	121984
59840	114560
59616	114592
59744	114464
59744	114624
59648	114432
59808	114784
59680	114752
59392	117568
59808	117696
59840	117536
59872	117856
59840	120640
59616	120672
59744	120544
59744	120704
59648	120512
59808	120864
59680	120832
60224	114624
60352	114496
60352	114656
60256	114464
60288	114784
60032	117664
59936	117568
59936	117728
60000	117888
60320	119680
60352	119520
60384	119840
60448	114592
60416	114816
60544	119648
60448	119552
60448	119712
60512	119872
61216	115680
61120	115648
61312	115776
61280	116000
61152	115968
61088	115808
61216	115840
61120	118720
61024	118688
61216	118816
61184	119040
61056	119008
60992	118848
61120	118880
61728	116544
61504	116576
61632	116448
61632	116608
61536	116416
61696	116768
61568	116736
61728	118016
61696	118240
61568	118208
61504	118048
61632	117920
61632	118080
61536	117888
