TRAPX	TRAPY
51168	124544
51168	124512
51168	124480
51136	124512
51136	124480
51104	124480
51104	124512
51104	124448
51072	124448
51104	124480
51072	124480
51072	124416
51040	124416
51040	124384
51008	124384
51008	124416
51040	124352
51072	124352
51072	124384
51104	124416
51040	124448
51136	124448
51552	124896
51584	124896
51584	124864
51552	124864
51520	124832
51520	124864
51520	124896
51488	124864
51488	124832
51456	124832
51456	124800
51424	124800
51424	124768
51424	124832
51456	124768
51424	124736
51392	124768
51392	124736
51392	124704
51360	124704
51360	124672
51392	124672
51328	124672
51328	124640
51328	124608
51296	124640
51296	124608
51296	124576
51264	124608
51264	124576
51264	124544
51232	124544
51232	124576
51232	124512
51200	124480
51200	124512
51200	124544
51264	124512
51296	124544
51360	124640
51360	124608
51328	124608
51424	124704
51488	124800
51552	124928
51584	124928
