TRAPX	TRAPY
50752	122816
50912	122816
50816	123104
50720	123008
50848	122944
50912	123072
51616	122368
51648	122176
51648	124160
51680	123968
51712	122464
51744	122304
51808	122432
51808	122176
51744	124256
51776	124096
51840	124224
51840	123968
52416	121792
52544	121728
52448	121600
52608	121600
52512	121888
52608	121856
52704	124832
53184	122752
53088	122656
53216	122592
53120	122464
52832	124768
52896	124896
52736	124640
52896	124640
52800	124928
53280	122720
53280	122464
53440	124416
53344	124320
53472	124256
53536	124384
53376	124128
53536	124128
53952	123680
53856	123584
53984	123520
54048	123648
53888	123392
54048	123392
