TRAPX	TRAPY
68864	103136
68864	103168
68832	103136
68896	103136
68896	103168
68896	103200
68928	103200
68928	103232
68960	103232
68960	103264
68992	103232
68992	103264
68992	103296
69024	103296
69024	103328
69056	103360
69056	103328
69088	103392
69088	103360
69088	103328
69056	103296
69024	103264
68960	103200
68928	103168
68896	103392
68864	103360
68832	103328
68800	103296
68800	103328
68832	103360
68864	103392
68864	103200
68864	103232
68896	103232
68928	103264
68960	103296
68992	103328
69024	103360
69056	103392
69024	103520
68992	103488
68960	103456
68928	103424
68896	103424
68928	103456
68960	103488
68992	103520
69024	103552
69056	103584
69088	103616
69088	103584
69088	103424
69088	103456
69120	103392
69120	103360
69152	103392
69120	103424
69152	103424
69120	103648
69120	103584
69120	103616
69120	103456
