TRAPX	TRAPY
60224	121824
60256	121824
60224	121664
60224	121696
60224	121728
60256	121728
60256	121696
60256	121664
60288	121696
60288	121728
60288	121760
60320	121728
60320	121760
60320	121760
60320	121792
60352	121760
60352	121792
60352	121824
60384	121792
60384	121824
60384	121824
60224	121856
60224	121888
60256	121856
60256	121888
60288	121856
60288	121888
60288	121920
60320	121888
60320	121920
60320	121952
60352	121920
60352	121952
60352	121984
60384	121952
60384	121984
60384	122016
60384	121856
60416	121824
60416	121984
60416	122016
60416	122048
60448	122016
60448	122048
60448	122080
60480	122048
60480	122080
60480	122112
60416	121856
60416	121888
60448	121856
60448	121888
60448	121920
60480	121856
60480	121888
60480	121920
62080	123744
62080	123776
62080	123808
62112	123776
62112	123808
62112	123840
62144	123776
62144	123808
62144	123840
62176	123808
62176	123840
62176	123840
62176	123872
62208	123840
62208	123872
62240	123872
62144	123648
62144	123616
62144	123584
62112	123584
62112	123616
62176	123616
62176	123648
62176	123680
62208	123648
62208	123680
62208	123712
62240	123680
62240	123712
62240	123744
62272	123712
62272	123744
62272	123776
62304	123744
62304	123776
62304	123808
62336	123776
62336	123808
62336	123840
62368	123808
62368	123776
62368	123840
62400	123776
62400	123808
62400	123840
62400	123872
62368	123872
62208	123904
62240	123904
62240	123936
62272	123904
62272	123936
62272	123968
62304	123936
62304	123968
62304	124000
62368	123968
62336	123968
62336	124000
62336	124032
62368	124000
62368	124032
