XPOS	YPOS
49408	101184
49376	101216
49408	101216
49440	101216
49344	101248
49376	101248
49408	101248
49312	101280
49344	101280
49376	101280
49280	101312
49312	101312
49344	101312
49248	101344
49280	101344
49312	101344
49248	101376
49280	101376
49248	101408
51552	103296
51584	103296
51520	103328
51552	103328
51584	103328
51488	103360
51520	103360
51552	103360
51456	103392
51488	103392
51520	103392
48832	103776
48864	103776
48832	103808
48864	103808
48896	103808
48864	103840
48896	103840
48928	103840
48896	103872
48928	103872
48960	103872
48928	103904
48960	103904
48992	103904
48960	103936
48992	103936
49024	103936
48992	103968
49024	103968
51424	103424
51456	103424
51488	103424
51392	103456
51424	103456
51456	103456
51424	103488
