XPOS	YPOS
48576	100256
48736	100288
48448	100448
48608	100512
48352	100640
48480	100672
48256	100800
48896	100352
49056	100384
48800	100480
47552	101984
47456	102144
47328	102272
47648	101792
47904	102208
47232	102464
47584	102752
47520	102880
47808	102400
47680	102592
46336	104000
46400	104032
46304	104096
46368	104128
46304	104224
46752	103456
46848	103488
46976	103520
46720	103584
46816	103616
46944	103648
46688	103744
46816	103776
46912	103840
47040	103840
47392	104384
48064	104384
51168	103968
51168	104128
51616	104384
51744	104224
51872	104256
51744	104384
45952	105184
45920	105408
46560	104832
46560	104960
46080	105216
46624	104832
46688	104832
46624	104960
46688	104960
47520	104480
47360	104512
47296	104608
47456	104608
47552	104672
47424	104736
47520	104832
47360	104864
48000	104480
48064	104544
47616	104576
47936	105344
48032	105440
48128	104448
48192	104512
48256	104576
48128	104640
48320	104640
48192	104672
48256	104736
48416	105440
50144	105248
50112	105376
50528	104832
50656	104832
50496	104992
50656	104992
50208	105312
50784	104896
51616	104544
45920	105664
46080	105472
46112	105696
46848	105568
46752	105664
46944	105664
46688	105792
46848	105792
47072	105792
46752	105888
46976	105888
46880	105984
47488	105600
47488	105696
47488	105824
47488	106176
47584	106176
47488	106272
47584	106272
47872	105536
48096	105568
47968	105632
47776	105696
48032	105728
47872	105824
47968	105920
47776	105952
47680	106176
47680	106272
48512	105504
48448	105536
48576	106048
48576	106176
48576	106304
49088	105888
48640	106048
48640	106176
48640	106304
49504	105856
49184	105888
49280	105888
49376	105888
49600	106368
49504	106432
50656	105696
50656	105856
50784	105600
50880	105696
50752	105792
47008	106688
46880	106720
46752	106784
47008	106880
46848	106912
46720	106976
47296	107072
47424	107136
47552	107168
47328	107200
47456	107264
48288	107072
48448	107072
48320	107200
48448	107200
48416	107328
49120	106496
49248	106496
49376	106496
