XPOS	YPOS
47008	128768
47040	128768
47072	128768
47040	128800
47072	128800
47072	128832
47104	128800
47104	128832
47136	128832
47104	128864
47136	128864
47168	128864
47136	128896
47168	128896
47200	128896
47168	128928
47392	129152
47424	129152
47456	129152
47424	129184
47456	129184
47488	129184
47456	129216
47488	129216
47520	129216
47488	129248
47520	129248
47552	129248
47520	129280
47552	129280
31008	135840
30976	135872
31008	135872
30944	135904
30976	135904
31008	135904
30944	135936
30976	135936
30912	135968
30944	135968
30880	136000
30912	136000
30848	136032
30880	136032
30816	136064
30848	136064
30784	136096
30816	136096
30752	136128
30784	136128
30720	136160
30752	136160
30720	136192
29472	137664
29472	137696
29504	137696
29504	137728
29536	137728
29536	137760
29568	137760
29568	137792
29600	137792
29600	137824
29632	137824
29632	137856
29664	137856
29664	137888
29696	137888
29696	137920
29728	137920
29728	137952
29760	137952
29760	137984
29792	138016
32224	138464
32192	138496
32224	138496
32160	138528
32192	138528
32224	138528
32160	138560
32192	138560
32128	138592
32160	138592
32128	138624
32352	138336
32320	138368
32352	138368
32384	138368
32288	138400
32320	138400
32352	138400
32256	138432
32288	138432
32320	138432
32256	138464
32288	138464
32256	138496
