XPOS	YPOS
41312	102208
41504	102240
42432	101504
42464	101792
42176	102144
42656	101440
42688	101728
43360	101824
43488	101856
43296	101984
43456	102080
39328	103360
39744	102496
39904	102496
39776	103168
39552	103200
39584	103392
39776	103392
40384	102464
40224	102496
40352	103136
40576	103136
41280	102496
41536	102528
42432	103296
42592	102944
42528	103136
38176	104384
38336	104416
38720	103488
38752	103712
38912	103552
38912	103808
41792	103488
41824	103712
42016	103488
41984	103712
38336	104608
38176	104640
38336	104832
38176	104864
38144	105120
38784	105216
38752	105408
38912	105216
38944	105408
37600	105952
37696	105952
37536	106112
37664	106144
37536	106304
37632	106304
37728	107648
37792	107904
37856	108064
38176	107648
38176	107840
38176	108032
37888	108256
38208	108256
38272	109376
37984	109408
38304	109504
38016	109632
38336	109664
38016	109760
38336	109824
38016	109952
50016	109760
50080	109984
49696	110112
49760	110336
49856	110528
50176	110144
50304	110272
38240	111200
38336	111200
38240	111360
38336	111360
38240	111552
38368	111584
49952	110720
51232	111232
51360	111232
51200	111424
51360	111456
38976	112096
39104	112128
39008	112384
42272	111680
42400	111712
42208	111968
42304	112032
49792	112512
49920	112512
50048	112544
50656	112192
50688	111904
50880	111904
50880	112192
51104	112352
51104	112576
51232	112384
51360	112384
51264	112608
51360	112608
38752	113504
39040	112672
41152	112672
41312	112736
41152	112992
41312	113088
41664	113376
41760	113440
41600	113504
41728	113600
42720	112704
42816	112800
42592	112864
42912	112896
42496	112992
42720	112992
42816	113056
42624	113152
42688	113248
49728	112736
49856	112736
50016	112736
49760	113056
49920	113088
51104	112832
38848	113664
38688	113696
38816	113760
38688	113856
38784	113920
39776	113760
39648	113920
39872	114112
39936	113920
40832	114080
40672	114176
40832	114336
40608	114368
40704	114528
41184	114624
42176	113856
42304	113920
42176	114144
42304	114208
43040	113792
43168	113792
43040	113984
43200	114016
43136	114208
43328	114240
50528	114368
50496	114592
50688	114208
50688	114400
50688	114656
40096	115008
40032	115168
39968	115264
40096	115360
41056	114720
40960	114848
41184	114848
41088	115008
41408	115392
41312	115488
41216	115616
41408	115648
41504	115520
41536	115680
42752	115072
42752	115328
42880	115392
42880	115648
43808	114816
43904	114944
43680	115008
43808	115136
43968	115136
43904	115296
49088	114816
49056	115040
49088	115264
49248	114816
49440	114848
49248	115072
49408	115072
49248	115264
49408	115264
50112	115424
50464	114784
50656	114848
50240	115584
38848	116192
38944	116000
39072	116224
38976	116416
40768	116096
40768	116352
40736	116608
41440	115808
40992	116192
40992	116448
43296	115808
43232	115936
43392	116064
43488	116160
43296	116192
43456	116352
44928	116032
44896	116224
45024	116288
45088	116128
50336	115744
50784	116512
50912	116544
39744	116736
39808	116800
39712	116832
39776	116896
39648	116928
39744	116992
39648	117056
39744	117088
39648	117248
39744	117248
40960	116768
42240	117216
42400	117344
42144	117408
42272	117536
42400	117696
42560	117504
42720	117728
45952	116864
45920	116992
46048	116992
45728	117248
45824	117376
45696	117408
46912	117472
47040	117600
46944	117664
47200	117632
48608	117120
48544	117376
48704	116864
48896	116896
49088	116928
48768	117152
48928	117152
48704	117376
48896	117376
50752	116736
50912	116768
50752	116928
50912	116992
52000	117408
52160	117600
41376	117856
41248	118112
41408	118304
41536	118048
41728	118240
41568	118464
42560	117888
43776	118208
43936	118304
43648	118368
43808	118496
44800	118688
44992	118752
47136	117760
47232	118528
47392	118528
47552	118560
47392	118752
49536	118400
49408	118496
49632	118592
49504	118688
49664	118272
49760	118496
49856	118688
51744	117792
51840	117952
51904	118176
51968	118336
52256	117760
52320	117920
44768	119008
44960	119072
45152	118816
45120	119232
45888	119552
46048	119712
48384	119776
49568	118880
49728	118784
50432	119648
50560	119712
45792	119840
45952	119968
46176	119840
46112	120096
46752	120064
46976	120128
46720	120224
46912	120288
47136	120256
47104	120416
48224	119808
48544	119808
48224	120032
48384	120032
48544	120064
48640	119968
50400	119968
50528	120064
50656	120192
50720	119808
51392	120320
51520	120320
51392	120544
51520	120544
51392	120736
51488	120768
51936	120576
52480	120128
52640	120288
52384	120320
52480	120416
52576	120576
52736	120480
47520	121088
47456	121280
47392	121472
47552	121568
47680	121152
47616	121344
51936	120832
52672	122304
52768	122144
52896	122240
52768	122400
