XPOS	YPOS
46048	81504
45952	81760
45536	82176
45472	82784
45760	81984
46048	82496
45728	82656
46144	82176
46272	82624
45184	82944
45504	83296
45248	83392
45920	83104
45728	83200
46048	83488
45792	83584
45568	83680
46144	83040
46272	83392
46336	83872
45856	83968
46144	84032
46368	84384
46112	84448
46240	84768
46464	84768
46592	84480
46816	84960
47552	84672
47136	84832
46432	85248
46144	85696
46432	85696
46720	85312
46720	85728
46976	85760
47392	85120
47104	85344
47232	85888
46208	86016
46432	86048
46752	86080
46976	86144
46752	86464
46976	86560
47040	86880
47200	86176
47424	86368
47200	86432
47424	86720
47200	86784
47648	86368
47648	86720
47488	87200
47264	87264
47456	87552
47744	87296
47968	87488
47936	87808
48416	87264
48512	87392
48256	87488
48480	87776
48256	87872
48736	87744
48992	87744
48128	88256
48416	88288
48448	88672
48768	88128
48960	88352
48736	88544
49088	88704
48928	88896
49152	88064
49184	88384
49376	88736
49312	89024
49536	89056
49376	89376
49632	89664
49408	89696
49408	90048
49728	89312
49888	89440
49920	89760
49664	90016
