XPOS	YPOS
41312	80448
41504	80224
41856	80704
42336	80416
42912	80480
43232	80096
43328	80864
43680	80160
43744	80672
44064	80064
44384	80480
44064	80608
44544	79872
44800	79936
44672	80448
45248	80576
45056	80608
45344	80640
45440	80768
41216	81184
41024	81600
41408	81728
41568	81024
41792	81568
42240	81152
42048	81184
42144	81856
42496	81216
43072	80960
43200	81568
43488	81888
43648	81216
43840	81248
44288	81024
44320	81632
44032	81760
44576	80960
44864	80960
44928	81504
44608	81536
45056	81088
45152	81120
45248	81184
40864	81984
40704	82432
40672	82592
40928	82624
40640	82752
40864	82784
41408	82208
41248	82592
41888	82144
41792	82592
41472	82912
42240	82624
42816	82144
42624	82368
42976	82624
42848	82912
43200	82112
43456	82368
43328	82848
43712	82048
43968	82304
43616	82752
44416	82176
44128	82624
40832	82944
41728	83296
41472	83392
41984	83008
42464	83008
42048	83360
42368	83456
42176	83808
42688	83456
42560	83840
43424	83360
43040	83424
43424	83712
43072	83872
43968	83136
43680	83360
44000	83680
43712	83840
44480	83744
41920	84896
42272	84352
42048	84544
41984	84736
42304	84896
42624	84448
42912	84544
42624	84928
43424	84064
43232	84416
43360	84800
43712	84416
43840	84704
44320	84096
44192	84544
44448	84864
44864	84256
44640	84512
45216	84512
45184	84704
45120	84928
45600	84800
42176	84992
42080	85088
42464	85824
42720	85312
42976	85376
42944	85824
43168	85088
43456	85440
43584	85088
43776	85376
43840	85920
44064	85248
44416	85280
44160	85920
44448	85920
44864	85024
44704	85568
44992	85856
45536	85184
45216	85344
45568	84992
43456	86112
43968	86688
44256	86432
44416	87008
44640	86368
44960	86784
45472	86368
45120	86464
45440	87008
45856	86784
45824	86976
43040	87968
44160	87200
44512	87808
44128	87872
44832	87200
45024	87776
45408	87648
45760	87136
46048	87392
46048	87904
45696	88032
46176	87040
46112	87232
42880	88640
43424	88736
43520	88128
43904	88640
44352	88416
44352	88992
44864	88256
44864	88704
44608	88800
45184	88288
45440	88768
45120	88896
45568	88448
46048	88448
45792	88768
46208	88864
47072	88640
47008	88768
46592	88832
47168	88480
47520	88768
47520	88960
43616	89696
44128	89120
44224	89504
44416	90048
44736	89120
44928	89472
44544	89504
44800	89952
45184	89472
45536	89504
45824	89280
46144	89472
46464	89504
46144	90016
46816	89376
46912	89920
47488	89120
47200	89376
47488	89600
47168	89696
47520	90048
47936	89408
47904	90080
48544	89728
48416	89760
48256	89952
48704	89696
48864	89824
48832	90048
43456	90528
43360	90720
43328	90944
43456	91104
43904	90144
43584	91072
44256	90464
44512	90752
44864	90688
45376	90272
45280	90944
45792	90144
45696	90848
46464	90528
46080	90624
46624	90112
46912	90496
46784	90816
47232	90432
47584	90432
47296	91008
47872	91072
48448	90368
48128	90560
48800	90272
48704	91104
50144	90752
49888	90944
50528	90720
50240	90944
43712	91200
44128	91520
44064	91904
44672	91680
45984	91328
46560	91200
46272	91296
46464	91808
47040	91264
46784	91808
47552	91328
47392	91712
47136	92000
47904	91648
