XPOS	YPOS
36896	92064
36928	92064
36960	92064
36896	92096
36928	92096
36960	92096
36864	92128
36896	92128
36928	92128
36960	92128
36832	92160
36800	92192
36832	92192
36736	92224
36768	92224
36800	92224
36832	92224
36736	92256
36768	92256
36800	92256
36704	92288
36736	92288
36768	92288
36704	92320
36768	92320
36864	92160
36896	92160
36928	92160
36960	92160
36864	92192
38080	92288
38112	92288
38144	92288
38080	92320
38112	92320
38144	92320
38176	92320
38144	92352
38176	92352
38208	92352
38176	92384
38208	92384
38240	92384
38208	92416
38240	92416
38272	92416
38304	92416
38240	92448
38272	92448
38304	92448
38272	92480
38304	92480
38304	92512
38336	92512
38336	92544
38944	93280
38944	93312
38976	93312
39008	93312
38944	93344
38976	93344
39008	93344
39040	93344
39072	93344
39008	93376
39040	93376
39072	93376
39040	93408
39072	93408
39104	93408
39072	93440
39104	93440
39136	93440
39168	93440
39104	93472
39136	93472
39168	93472
39136	93504
39168	93504
39136	93536
39168	93536
39136	93568
39168	93568
40224	94880
40256	94880
40288	94880
40224	94912
40256	94912
40288	94912
40320	94912
40224	94944
40256	94944
40288	94944
40320	94944
40352	94944
40320	94976
40352	94976
40384	94976
40416	94976
40352	95008
40384	95008
40416	95008
40384	95040
40416	95040
40416	95072
40448	95040
40448	95072
40448	95104
40480	95104
40448	95136
40480	95136
40864	96992
40864	97024
40896	97024
40928	97024
40832	97056
40864	97056
40896	97056
40928	97056
40864	97088
40896	97088
40928	97088
40960	97056
40960	97088
40992	97088
40960	97120
40992	97120
41024	97120
40992	97152
41024	97152
41056	97152
41088	97152
41024	97184
41056	97184
41088	97184
41056	97216
41088	97216
41088	97248
41120	97248
41088	97280
41120	97280
41120	97312
41184	99136
41216	99136
41184	99168
41216	99168
41152	99200
41184	99200
41216	99200
41120	99232
41152	99232
41184	99232
41216	99232
41088	99264
41120	99264
41152	99264
41184	99264
41056	99296
41088	99296
41120	99296
41152	99296
41024	99328
41056	99328
41088	99328
41120	99328
40992	99360
41024	99360
41056	99360
41088	99360
40992	99392
41024	99392
41056	99392
