XPOS	YPOS
38112	101344
38144	101344
38112	101376
38144	101376
38176	101376
38144	101408
38176	101408
38208	101408
38176	101440
38208	101440
38240	101440
38208	101472
38240	101472
38272	101472
38272	101504
38304	101504
38336	101504
38304	101536
38336	101536
38336	101568
38368	101568
38368	101600
38528	101760
38560	101760
38496	101792
38528	101792
38560	101792
38464	101824
38496	101824
38528	101824
38560	101824
38592	101824
38528	101856
38560	101856
38592	101856
38560	101888
38592	101888
38624	101888
38592	101920
38624	101920
38656	101920
38624	101952
38656	101952
38688	101952
38656	101984
38688	101984
38720	101984
38688	102016
38720	102016
