XPOS	YPOS
37312	81696
37152	81856
37536	81824
36704	82304
36544	82592
36992	82016
36896	82400
37248	82560
37472	82144
37408	82464
37504	82848
37920	82208
38016	82720
36544	83008
36736	83360
36448	83424
36512	83904
36832	83936
36864	82976
37248	83072
37440	83168
37664	83392
38016	83136
38464	83456
38752	83776
36544	84352
36480	84736
36928	84352
36864	84800
38624	84448
38848	84864
39040	84320
39296	84608
39136	84800
39680	84416
39488	84512
39808	84928
40000	84672
36288	85632
36416	85152
36704	85632
36928	85216
37088	85760
39168	85408
39456	85024
39648	85312
39904	85440
39456	85536
39968	84992
36640	86048
36384	86176
36512	86528
36768	86560
36672	86944
36384	87008
36960	86112
37184	86176
37152	86496
37696	86496
37440	86560
37472	87008
39520	86144
39552	86816
37120	87488
37248	88032
39744	87744
39552	87776
39968	87776
37056	88096
36960	88512
37824	88768
37536	88832
38176	88800
38720	88480
38432	88672
38720	88960
39264	88448
39904	88224
39584	88256
39776	88640
39456	88704
40192	88064
40384	88352
40128	88384
40064	88672
40416	88864
40160	88928
40640	88992
37120	89408
37152	90080
37376	89120
37728	89120
37440	89472
37440	89952
37664	90016
38112	89120
38048	89472
37952	89856
38464	89152
38464	89536
38400	89888
40480	89440
40864	89472
40672	89984
41376	89472
41152	89504
41344	90016
41632	89696
41600	90016
37056	90304
36960	90496
37312	90624
37088	90784
37504	90528
37792	90688
37664	90880
37920	90368
38304	90400
38112	91072
38688	90400
38400	90816
38656	90880
38944	90912
41408	90656
41056	90880
41568	90368
41760	90368
41920	90816
41664	90912
42400	90688
42176	91008
42624	90880
42848	91008
37728	91328
37920	91168
38368	91520
38048	91616
38624	91360
38624	92096
38976	91616
39328	92000
38944	92064
41344	91168
41856	91264
41664	91456
41504	91552
42944	91264
42496	91296
42784	91584
42528	91808
43232	91488
43136	91840
39136	92544
39200	92896
39424	92512
39776	92544
39520	92896
39840	92896
40192	92896
41824	92832
42240	92512
42464	92896
42144	93024
42560	92352
42912	92384
42880	92960
43136	92512
43328	92960
43968	92704
44064	92256
44512	92512
44192	92608
44288	93056
44032	93088
44640	92960
39424	93312
39712	93344
39488	93792
39808	93792
39968	93344
40256	93344
40128	93824
40416	93824
40768	93824
41088	93536
41184	94048
41888	93248
41600	93440
41568	93952
43104	93504
43424	93600
43712	93248
43808	93600
43840	94080
44064	93504
44352	93504
44320	93984
44064	94048
44704	93440
44640	93920
45504	93408
45504	93728
45824	93952
46464	93504
46240	93856
46624	93856
39808	94272
40128	94368
40352	94784
40448	94336
40800	94368
40608	94784
40928	94816
41216	94496
41280	94880
41632	94400
41632	94944
43840	94560
43936	95072
43776	95200
44384	94464
44096	94592
44704	94304
46016	94240
46144	94464
46400	94528
46592	94208
40800	95296
41120	95328
41408	95360
41024	95680
41376	95808
41728	95360
41696	95872
42016	95360
42432	95808
42048	95904
43744	95680
43936	95840
46976	95520
46848	96096
41280	96352
41632	96384
41632	96896
41952	96928
41984	96384
42336	96384
42336	96928
42752	96384
42720	96928
43392	96576
43104	96768
43296	97120
43872	96288
43616	96320
43616	96800
43872	96800
44288	96544
44288	96992
44960	96704
44576	96736
45440	97088
45792	97024
46528	96864
46176	96896
46688	96608
46880	97056
47904	97088
48224	97120
41952	97472
42304	97472
42720	97472
42560	98080
42880	98112
43104	97312
43360	97824
43808	98048
44064	97536
44832	97280
44576	97344
44928	97728
45120	97344
45440	97824
45472	98272
46048	97632
45760	97760
46304	97536
46432	97888
46656	97376
47008	97408
46848	97984
46624	98240
47488	97632
47104	97856
47552	98080
48064	97632
47872	98176
48576	97568
48480	97984
48256	98112
48864	97888
48640	97920
49024	98176
42784	98624
42976	99104
43072	98624
43456	98816
43232	99104
43648	98432
44256	98624
44416	99008
44160	99264
45024	98528
44768	98752
44896	99264
45344	99040
45856	98336
45984	98688
45568	98720
45824	99264
46272	98336
46336	98720
46528	99232
46208	99264
46816	98496
46624	98752
46816	99168
47392	98336
47104	98368
47104	99008
48096	98528
47712	98688
47968	99072
48512	98656
48192	98944
48864	98400
48704	98656
43392	99616
43776	99456
44480	99616
44032	99712
44640	100064
45152	99744
45568	99488
47200	99584
