XPOS	YPOS
52832	126976
52832	127008
52832	127040
52832	127072
52832	127104
52832	127136
52864	127136
52864	127104
52864	127040
52864	127008
52864	127040
52896	127040
52896	127072
52896	127104
52896	127136
52896	127168
52928	127200
52928	127168
52928	127136
52960	127168
52960	127200
52992	127232
52992	127168
52992	127200
53024	127264
52992	127264
53024	127200
53024	127232
53024	127296
53024	127328
53056	127296
53056	127264
53056	127328
53056	127232
53088	127264
53088	127296
53088	127328
53056	127360
53056	127392
53088	127360
54752	129888
54752	129920
54752	129952
54720	129920
54720	129952
54720	129984
54720	130016
54688	129952
54688	129952
54688	129984
54688	130016
54752	129984
54656	130016
54688	130048
54720	130048
54656	130048
54976	129664
54976	129696
54976	129728
54944	129696
54944	129696
54912	129696
54912	129728
54912	129760
54944	129728
54944	129760
54976	129760
54944	129792
54912	129792
54880	129760
54880	129792
54880	129824
54912	129824
54912	129856
54848	129792
54848	129824
54848	129856
54880	129856
54848	129888
54816	129888
54816	129856
54784	129856
54784	129888
54816	129920
54784	129920
54784	129952
