XPOS	YPOS
40256	97088
40480	97184
37824	97632
37664	97856
38048	97376
38112	97824
38304	98016
38208	98240
37984	98272
38816	97632
38496	97728
38880	98016
38496	98112
39008	97536
39392	97760
39072	97824
39264	97952
39200	98144
39872	97504
39584	97632
39808	97792
39648	98208
40064	97408
40352	97408
40224	97600
40384	97664
40064	97760
40256	97856
40032	97984
40256	98176
40544	97792
40448	97984
38208	98528
38208	98912
38880	98336
38656	98432
38720	98752
38528	98944
39168	98496
38912	98624
39360	98688
39488	98368
39840	98400
39744	98592
39552	98880
39712	99072
40096	98624
39936	98816
40320	99168
40448	98432
40800	98624
40544	98944
40800	99168
41056	98880
41280	99072
39840	99872
39872	100128
40096	99360
40288	99648
40064	99872
40352	100096
40064	100192
40544	99424
40928	99648
40640	99936
40832	100224
41056	99424
41248	99648
41024	99968
41248	100288
40384	100544
40384	100864
40384	101312
40608	100416
40864	100672
40640	100800
40832	101088
40608	101184
41088	100448
