XPOS	YPOS
51968	120288
52000	120288
52000	120320
52032	120320
52032	120352
52064	120352
52064	120384
52096	120384
52096	120416
52128	120416
52128	120448
52160	120448
52160	120480
52192	120480
52192	120512
52224	120512
52224	120544
53472	121920
53504	121920
53472	121952
53504	121952
53536	121952
53536	121984
53568	121984
53568	122016
53600	122016
53600	122048
53632	122048
53632	122080
53664	122080
53664	122112
53696	122112
53696	122144
55200	123904
55232	123904
55200	123936
55232	123936
55264	123936
55232	123968
55264	123968
55264	124000
55296	123968
55296	124000
55328	124000
55296	124032
55328	124032
55360	124032
55328	124064
55360	124064
55392	124064
55360	124096
55392	124096
55424	124096
55392	124128
55424	124128
55424	124160
