XPOS	YPOS
56288	110368
56160	110560
56000	110720
56128	110976
56512	110592
56352	110816
56672	110880
56800	111072
56448	111168
56576	111296
56928	110656
57312	110752
57056	110816
57216	111168
56960	111232
57088	111392
56832	111552
57248	111584
57440	110592
57600	110720
57728	110848
57408	110880
57536	111040
57440	111328
57792	111456
54720	112448
54464	112608
54912	112576
56192	112352
56000	112544
56672	111904
56448	112128
56640	112384
56416	112544
56800	112544
57120	111776
56928	112192
57536	111872
57824	112128
58080	111744
58304	112288
58080	112512
58560	112064
58784	112320
58528	112608
54688	112832
55104	112736
54912	112960
55072	113184
55200	113504
54944	113632
55296	112928
55552	113024
55360	113248
55616	113504
56192	112736
55840	112768
56064	113088
55872	113280
56640	112736
56352	112928
57120	113440
56960	113632
57632	112992
57760	113184
57344	113248
57568	113472
57856	112768
58336	112896
58080	112992
58848	112928
58752	113152
59104	112672
59328	112864
59200	113184
58944	113376
59584	113312
59424	113536
60288	113568
52640	114112
52928	114112
53088	114304
52768	114336
53024	114560
53120	114624
53536	114656
54112	114464
53984	114656
54752	113856
54560	114048
54336	114240
54560	114560
55200	113952
55008	114144
54784	114336
55424	113696
56160	114432
55904	114624
56736	113824
56512	114016
56352	114208
56736	114240
56640	114496
57184	113888
56992	114112
57088	114304
57216	114432
57344	113696
59232	113728
59264	114496
59648	113920
59392	114016
59712	114272
59552	114496
59840	114624
59904	113664
60096	113760
60256	113920
60096	113984
60288	114240
60064	114432
60288	114560
60448	113728
60608	113952
60416	114112
60512	114336
60864	114496
60672	114656
53056	115200
52800	115488
53184	115584
53312	114912
53664	115008
53504	115232
53664	115392
53376	115648
53792	114784
54240	114912
54048	115104
53920	115296
54400	114752
55200	115328
54976	115648
55648	114944
55424	115136
55680	115424
56128	114880
55904	115200
56256	115488
55968	115648
56448	114720
56704	114976
56480	115232
56704	115456
57024	114720
57216	114944
56928	115232
57248	115616
57600	114976
57504	115360
57696	115584
58240	115584
58720	115264
58464	115392
59104	114752
58944	115008
59232	115296
58944	115616
59648	114848
59456	115104
60128	114720
60448	114912
60832	115072
60704	115200
60896	115360
61056	114816
61216	115008
61056	115232
61248	115424
61056	115616
61504	115232
61760	115488
53152	115904
53568	115968
53248	116288
53696	116384
53760	115776
53984	116032
54208	116288
53920	116608
54688	115840
54496	116128
54720	116416
54432	116544
55168	115936
54912	116224
55424	115712
55296	116192
56256	115968
56480	115712
56768	116096
56576	116288
56800	116608
57024	115840
57120	116256
56960	116448
57280	116672
57440	115936
57664	116256
57472	116480
58048	115840
57856	116096
58144	116320
57920	116512
58720	115808
58592	115936
58368	116096
58592	116416
58400	116576
58944	116704
60896	116544
61248	116192
61088	116352
61344	116608
61440	115840
61856	115968
61632	116192
61504	116448
61920	116448
62080	115712
62336	116000
62080	116288
62336	116448
62048	116704
62592	116160
62784	116608
53120	117536
53664	117024
53408	117248
54240	116800
54048	116992
54656	116800
54464	117120
54656	117376
54912	117024
55136	117216
54912	117568
55360	117504
56608	117504
57120	116928
57312	117120
56864	117184
57024	117440
57632	116736
57472	116960
57696	117184
57504	117376
58176	116768
57952	116992
58144	117440
57888	117664
58752	116800
58560	116992
58368	117216
58720	117344
58592	117504
59136	116928
58912	117152
59328	117152
59168	117440
58944	117664
59360	117664
59776	117216
59520	117408
59776	117728
60224	117248
60000	117472
60672	116736
60480	117024
60768	117216
60512	117504
61152	116768
60960	116992
61920	117632
62336	117056
62112	117376
62368	117408
62240	117664
62528	116800
62880	116896
62624	117152
62912	117440
63136	117184
63328	117376
63104	117568
63584	117632
52544	118752
52864	117760
53152	118112
53088	118464
52928	118688
53408	117856
53568	118240
53344	118432
53664	118656
53312	118752
53792	117952
53984	118176
53856	118432
55200	117856
55648	117792
55424	118080
55648	118432
55392	118720
56032	118016
55840	118208
56288	118240
56128	118464
55936	118720
56224	118752
56320	117760
56768	117792
56512	118016
56704	118240
56448	118496
56576	118720
57216	117760
56960	117984
58848	117792
58848	118592
59168	117920
59296	118208
59040	118464
59296	118720
59584	118016
59808	118240
59584	118496
59872	118752
60288	117760
60032	118048
60128	118400
60416	118656
60832	118656
61344	118112
61120	118368
61280	118720
61632	117856
61856	118176
61568	118464
62048	117952
62688	117760
62944	117856
62496	117984
62944	118688
63360	117856
63104	118016
63328	118176
63200	118464
63456	118752
63840	117888
63552	118176
63936	118336
63648	118528
63872	118720
64128	118144
64256	118336
64064	118528
64512	118592
52096	119360
52032	119744
52352	119072
53184	118912
52768	119072
52960	119232
52800	119520
53024	119680
54176	118848
53952	119040
54656	118944
54464	119200
54272	119392
54432	119744
54720	119744
55232	118944
55200	119264
54976	119520
55648	118944
55776	119136
55520	119264
55328	119648
56000	118976
56288	119104
56768	118880
56416	118944
56640	119104
56480	119296
56736	119520
57056	119136
57280	119328
56896	119360
57120	119488
56960	119648
57504	119488
57376	119712
57664	119776
58144	119392
57952	119552
58336	119616
58720	118816
58592	119040
58368	119200
58784	119264
58592	119488
59072	118912
58912	119104
59872	119712
60096	119008
60352	119136
60128	119424
60320	119744
60608	118848
60832	119232
60576	119424
61056	118976
62272	119392
62432	119520
62080	119584
62720	118912
62464	119168
62688	119392
62944	119488
62624	119712
63232	119008
63008	119200
64320	118848
64160	119072
64384	119296
64736	118848
64544	119072
52672	119840
52864	120032
54272	120192
54656	120704
54464	120736
55136	119872
54816	120128
55232	120288
55488	120064
55776	120320
55616	120512
55488	120704
56160	120544
55904	120768
57184	119872
57408	120128
57600	120320
57824	120608
58176	119840
57888	119968
58048	120224
