XPOS	YPOS
36736	91584
36704	91936
37088	91808
36864	91840
37216	92128
36704	92288
36512	92640
36544	93024
37568	92576
37664	92864
37632	93120
36736	93216
36992	93376
37216	93504
37440	93216
37856	93408
37600	93536
37440	93696
37728	93920
38176	93632
37920	93792
38368	93920
38144	94048
38848	93760
38656	93856
38848	94144
37952	94208
38240	94368
38144	94528
38624	94208
38432	94240
38688	94656
38400	94720
38880	94976
38688	95104
38912	94528
39136	94848
39360	95104
39136	95232
39360	95552
39136	95616
39232	95936
39584	95392
39712	95872
39488	95968
39808	96192
39936	95904
39584	96288
39552	96640
39808	96640
39808	97248
40064	96832
39968	97056
40256	97056
39296	97952
39680	97472
39488	97728
39808	97888
39616	98112
40128	97504
39968	97696
40352	97824
40224	98016
40032	98208
40576	98240
39424	98336
39872	98400
39712	98592
40384	98528
40192	98752
39968	98880
40320	99136
40736	98592
40544	98880
40192	99360
40352	99744
40192	99968
40320	100288
40672	99392
40512	99552
40736	99936
40544	100096
40992	99648
41376	99904
41120	100128
41824	99904
41632	100192
42048	99584
42272	100096
42048	100160
40864	100352
40640	100544
41408	100384
41216	100608
41376	100864
41856	100448
41600	100704
41888	100864
41664	101088
42304	100448
42112	100608
42432	100832
42240	100928
42624	100512
42816	100928
42624	101152
42912	101344
43040	100672
43328	100896
43040	101056
