XPOS	YPOS
44448	82656
44480	82656
44448	82688
44480	82688
44512	82688
44448	82720
44480	82720
44512	82720
44480	82752
44512	82752
44544	82720
44544	82752
44576	82752
44544	82784
44576	82784
44608	82784
44576	82816
44608	82816
44640	82816
44608	82848
44640	82848
44672	82848
44640	82880
44672	82880
44704	82880
44672	82912
44704	82912
44736	82912
44672	82944
44704	82944
44736	82944
44704	82976
44736	82976
44928	83776
44960	83776
44928	83808
44960	83808
44992	83808
44928	83840
44960	83840
44992	83840
45024	83840
44960	83872
44992	83872
45024	83872
45024	83904
45056	83872
45056	83904
45088	83904
45056	83936
45088	83936
45120	83936
45152	83936
45088	83968
45120	83968
45152	83968
45184	83968
45120	84000
45152	84000
45184	84000
45152	84032
45184	84032
46336	85376
46336	85408
46368	85408
46304	85440
46336	85440
46368	85440
46400	85440
46336	85472
46368	85472
46400	85472
46432	85472
46368	85504
46400	85504
46432	85504
46464	85504
46400	85536
46432	85536
46464	85536
46496	85536
46432	85568
46464	85568
46496	85568
46528	85568
46464	85600
46496	85600
46528	85600
46560	85600
46496	85632
46528	85632
46560	85632
46528	85664
46592	85600
46592	85632
46816	86464
46848	86464
46880	86464
46848	86496
46880	86496
46912	86496
46880	86528
46912	86528
46944	86528
46912	86560
46944	86560
46976	86560
46944	86592
46976	86592
47008	86592
46976	86624
47008	86624
47040	86624
47008	86656
47040	86656
47072	86656
47040	86688
47072	86688
47072	86720
47104	86688
47104	86720
47904	87680
47904	87712
47936	87712
47968	87712
48000	87712
47904	87744
47936	87744
47968	87744
48000	87744
48032	87744
47968	87776
48000	87776
48032	87776
48000	87808
48032	87808
48064	87808
48032	87840
48064	87840
48096	87840
48064	87872
48096	87872
48096	87904
48128	87840
48160	87840
48128	87872
48160	87872
48128	87904
48160	87904
48128	87936
48160	87936
48192	87936
48768	88352
48800	88352
48768	88384
48800	88384
48832	88384
48800	88416
48832	88416
48864	88416
48832	88448
48864	88448
48896	88448
48928	88448
48864	88480
48896	88480
48928	88480
48896	88512
48928	88512
48960	88512
48992	88512
48928	88544
48960	88544
48992	88544
48960	88576
48992	88576
49024	88576
48992	88608
49024	88608
49056	88608
49024	88640
49056	88640
