XPOS	YPOS
54240	96576
54208	96608
54240	96608
54176	96640
54208	96640
54240	96640
54144	96672
54176	96672
54208	96672
54112	96704
54144	96704
54176	96704
54080	96736
54112	96736
54144	96736
54048	96768
54080	96768
54112	96768
54016	96800
54048	96800
54080	96800
54048	96832
54272	96544
54272	96576
54272	96608
55680	96512
55712	96448
55744	96480
55776	96512
55808	96544
55840	96576
55872	96608
55904	96640
55936	96672
55968	96704
56000	96736
56032	96768
55712	96480
55936	96704
56000	96768
56032	96800
55712	96512
55744	96512
55712	96544
55744	96544
55776	96544
55744	96576
55776	96576
55776	96608
55808	96576
55808	96608
55840	96608
55808	96640
55840	96640
55872	96640
55840	96672
55872	96672
55904	96672
55872	96704
55904	96704
55904	96736
55936	96736
55968	96736
55936	96768
55968	96768
56000	96800
56032	96832
55968	96800
55744	98496
55776	98496
55712	98528
55744	98528
55776	98528
55680	98560
55712	98560
55744	98560
55648	98592
55680	98592
55712	98592
55616	98624
55648	98624
55680	98624
55584	98656
55616	98656
55648	98656
55552	98688
55584	98688
55616	98688
55520	98720
55552	98720
55584	98720
55488	98752
55520	98752
55552	98752
55488	98784
55520	98784
55808	98496
