mID	Type	TypeName	Name	Worth	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	Message	Announce
1	1	Trang bŞ Hoµng Kim	§éng S¸t B¹ch Kim §iªu Long Giíi	0	143												LÔ quan tÆng b¹n 1 <name>.	<player>LÔ quan tÆng b¹n <player>1 bé Trang bŞ Hoµng Kim:<name>, Chóc <player> C¸t T­êng Nh­ ı 
2	1	Trang bŞ Hoµng Kim	§éng S¸t B¹ch Ngäc Cµn Kh«n Béi	1000000000	144												LÔ quan tÆng b¹n 1 <name>.	<player>LÔ quan tÆng b¹n <player>1 bé Trang bŞ Hoµng Kim:<name>, Chóc <player> C¸t T­êng Nh­ ı 
3	1	Trang bŞ Hoµng Kim	§éng S¸t B¹ch Kim Tó Phông Giíi	2000000000	145												LÔ quan tÆng b¹n 1 <name>.	<player>LÔ quan tÆng b¹n <player>1 bé Trang bŞ Hoµng Kim:<name>, Chóc <player> C¸t T­êng Nh­ ı 
4	1	Trang bŞ Hoµng Kim	§éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn	2000000000	146												LÔ quan tÆng b¹n 1 <name>.	<player>LÔ quan tÆng b¹n <player>1 bé Trang bŞ Hoµng Kim:<name>, Chóc <player> C¸t T­êng Nh­ ı 
5	1	Trang bŞ Hoµng Kim	An Bang B¨ng Tinh Th¹ch H¹ng Liªn	1200000000	164												LÔ quan tÆng b¹n 1 <name>.	<player>LÔ quan tÆng b¹n <player>1 bé Trang bŞ Hoµng Kim:<name>, Chóc <player> C¸t T­êng Nh­ ı 
6	1	Trang bŞ Hoµng Kim	An Bang Cóc Hoa Th¹ch ChØ hoµn	400000000	165												LÔ quan tÆng b¹n 1 <name>.	<player>LÔ quan tÆng b¹n <player>1 bé Trang bŞ Hoµng Kim:<name>, Chóc <player> C¸t T­êng Nh­ ı 
7	1	Trang bŞ Hoµng Kim	An Bang §iÒn Hoµng Th¹ch Ngäc Béi	400000000	166												LÔ quan tÆng b¹n 1 <name>.	<player>LÔ quan tÆng b¹n <player>1 bé Trang bŞ Hoµng Kim:<name>, Chóc <player> C¸t T­êng Nh­ ı 
8	1	Trang bŞ Hoµng Kim	An Bang Kª HuyÕt Th¹ch Giíi ChØ 	500000000	167												LÔ quan tÆng b¹n 1 <name>.	<player>LÔ quan tÆng b¹n <player>1 bé Trang bŞ Hoµng Kim:<name>, Chóc <player> C¸t T­êng Nh­ ı 
9	1	Trang bŞ Hoµng Kim	HiÖp Cèt ThiÕt HuyÕt Sam	400000000	186												LÔ quan tÆng b¹n 1 <name>.	<player>LÔ quan tÆng b¹n <player>1 bé Trang bŞ Hoµng Kim:<name>, Chóc <player> C¸t T­êng Nh­ ı 
10	1	Trang bŞ Hoµng Kim	HiÖp Cèt §a T×nh Hoµn	1200000000	187												LÔ quan tÆng b¹n 1 <name>.	<player>LÔ quan tÆng b¹n <player>1 bé Trang bŞ Hoµng Kim:<name>, Chóc <player> C¸t T­êng Nh­ ı 
11	1	Trang bŞ Hoµng Kim	HiÖp Cèt §an T©m Giíi	400000000	188												LÔ quan tÆng b¹n 1 <name>.	<player>LÔ quan tÆng b¹n <player>1 bé Trang bŞ Hoµng Kim:<name>, Chóc <player> C¸t T­êng Nh­ ı 
12	1	Trang bŞ Hoµng Kim	HiÖp Cèt T×nh ı KÕt	400000000	189												LÔ quan tÆng b¹n 1 <name>.	<player>LÔ quan tÆng b¹n <player>1 bé Trang bŞ Hoµng Kim:<name>, Chóc <player> C¸t T­êng Nh­ ı 
13	1	Trang bŞ Hoµng Kim	Nhu T×nh C©n Quèc Nghª Th­êng	400000000	190												LÔ quan tÆng b¹n 1 <name>.	<player>LÔ quan tÆng b¹n <player>1 bé Trang bŞ Hoµng Kim:<name>, Chóc <player> C¸t T­êng Nh­ ı 
14	1	Trang bŞ Hoµng Kim	Nhu T×nh Thôc N÷ H¹ng Liªn	1200000000	191												LÔ quan tÆng b¹n 1 <name>.	<player>LÔ quan tÆng b¹n <player>1 bé Trang bŞ Hoµng Kim:<name>, Chóc <player> C¸t T­êng Nh­ ı 
15	1	Trang bŞ Hoµng Kim	Nhu T×nh  Phông Nghi Giíi ChØ 	400000000	192												LÔ quan tÆng b¹n 1 <name>.	<player>LÔ quan tÆng b¹n <player>1 bé Trang bŞ Hoµng Kim:<name>, Chóc <player> C¸t T­êng Nh­ ı 
16	1	Trang bŞ Hoµng Kim	Nhu T×nh  TuÖ T©m Ngäc Béi	400000000	193												LÔ quan tÆng b¹n 1 <name>.	<player>LÔ quan tÆng b¹n <player>1 bé Trang bŞ Hoµng Kim:<name>, Chóc <player> C¸t T­êng Nh­ ı 
17	2	MËt tŞch kü n¨ng	Tô TiÔn thuËt. B¹o Vò Lª Hoa	20000000	6	1	27	1									LÔ quan tÆng b¹n 1 quyÓn "<name>".	<player>LÔ quan tÆng b¹n <player>1 quyÓn MËt tŞch kü n¨ng:<name>, Chóc <player> C¸t T­êng Nh­ ı 
