mID	ÃèÊö	Worth	Seed	Lucky	Magic1	Magic2	Magic3	Magic4	Magic5	Magic6	ÎåÐÐ
1	V« hÖ 	10000	100	0	0	0	0	0	0	0	9
2	T¨ng Sinh lùc 5	160000	52	5	9	9	9	9	9	9	9
3	T¨ng Sinh lùc 41	400000	461	10	9	9	9	9	9	9	9
4	T¨ng Sinh lùc 81	1200000	795	10	9	9	9	9	9	9	9
5	T¨ng Sinh lùc 121	3000000	3903	10	9	9	9	9	9	9	9
6	T¨ng Néi lùc5	160000	52	10	9	9	9	9	9	9	9
7	T¨ng Néi lùc41	300000	342	10	9	9	9	9	9	9	9
8	T¨ng Néi lùc81	800000	301	10	9	9	9	9	9	9	9
9	T¨ng Néi lùc121	2000000	837	50	9	9	9	9	9	9	9
10	T¨ng ThÓ lùc 5	100000	52	10	9	9	9	9	9	9	9
11	T¨ng ThÓ lùc 41	200000	342	10	9	9	9	9	9	9	9
12	T¨ng ThÓ lùc 81	500000	301	10	9	9	9	9	9	9	9
13	T¨ng ThÓ lùc 121	1000000	837	50	9	9	9	9	9	9	9
15	T¨ng Søc m¹nh 1	200000	15	10	9	9	9	9	9	9	0
16	T¨ng Søc m¹nh 11	2000000	81	10	9	9	9	9	9	9	0
17	T¨ng Th©n ph¸p 1	200000	79	10	9	9	9	9	9	9	3
18	T¨ng Th©n ph¸p 11	2000000	29	10	9	9	9	9	9	9	3
19	T¨ng Sinh khÝ 1	200000	15	10	9	9	9	9	9	9	2
20	T¨ng Sinh khÝ 11	2000000	51	10	9	9	9	9	9	9	2
21	T¨ng kh¸ng ®éc 1	200000	2	10	9	9	9	9	9	9	0
22	T¨ng kh¸ng ®éc 6	300000	12	10	9	9	9	9	9	9	0
23	T¨ng kh¸ng ®éc 15	1000000	13	10	9	9	9	9	9	9	0
24	T¨ng kh¸ng hµn 1	200000	2	10	9	9	9	9	9	9	4
25	T¨ng kh¸ng hµn 6	300000	12	10	9	9	9	9	9	9	4
26	T¨ng kh¸ng hµn 15	2000000	13	10	9	9	9	9	9	9	4
27	T¨ng kh¸ng háa 1	200000	2	10	9	9	9	9	9	9	2
28	T¨ng kh¸ng háa 6	300000	12	10	9	9	9	9	9	9	2
29	T¨ng kh¸ng háa 15	2000000	13	10	9	9	9	9	9	9	2
30	T¨ng kh¸ng l«i 1	200000	2	10	9	9	9	9	9	9	1
31	T¨ng kh¸ng l«i 6	300000	12	10	9	9	9	9	9	9	1
32	T¨ng kh¸ng l«i 18	2000000	32	10	9	9	9	9	9	9	1
