XPOS	YPOS
74688	109888
74464	109920
74656	110208
75072	110144
74944	110336
74944	110560
75072	110560
75680	109856
75328	110048
75552	110080
75456	110336
75264	110496
76256	109824
76000	109920
77952	110496
76224	111552
77376	110944
77344	111520
78112	111040
79744	111008
80032	111424
80576	110880
80608	111296
80960	110816
81184	110976
81056	111296
75008	112160
75360	111616
75328	112064
76768	112256
76832	111680
76928	112576
77760	112320
77824	111840
79552	112384
80224	111968
79936	112320
80512	111744
80800	112224
81408	112096
83040	112032
83296	112064
83200	112160
83008	112256
83392	112256
83296	112288
83200	112352
83232	112576
83360	112576
83744	111904
83584	111936
83456	112032
83680	112128
83552	112192
75456	112672
75712	113248
76480	112672
76832	113184
77536	112768
77664	113248
79584	112736
79424	113120
80288	112640
80736	112992
83232	113024
83392	113408
75680	113888
75488	114464
76768	114400
77120	113952
77536	113696
77728	114624
77920	113952
78784	114656
79232	113760
80640	113728
80832	114304
75072	114912
75392	115424
75872	115360
76576	115520
76800	115104
77728	115328
77376	115392
78176	114880
78528	114720
79168	114848
79552	115104
80224	115200
79872	115680
80608	114752
80768	115360
83424	115264
83072	115648
75584	115936
76192	115776
76672	116032
76672	116512
77024	115904
77536	115776
77760	116256
79328	116608
79648	116352
80032	116352
80256	116672
80768	116320
81024	115808
81472	115776
81760	116160
82208	116384
81984	116704
82752	116224
82496	116704
83168	116384
76896	116768
76960	117216
77792	117344
77888	116736
79104	116928
78912	117536
79744	117664
79904	117120
80640	117216
80896	117696
81568	116736
81472	117280
82752	117152
82688	117696
83488	116768
76256	118560
76768	118496
76992	117824
77216	118592
77696	117888
78080	118336
78496	118208
79104	118112
79584	118368
80768	118400
81312	117792
81632	118144
82080	118528
82560	118368
76096	119616
76384	118912
76480	119648
76896	119264
77472	119264
77728	119680
77920	119552
78272	119584
79616	119200
80352	119520
80032	119584
80384	118816
80672	119200
81792	118944
82208	119104
82496	118944
75520	120256
75616	120768
76160	120128
76928	120192
76960	120768
78080	120032
78080	120480
78688	119936
79136	119840
80096	120352
80832	120000
81536	120128
81952	120672
82432	119840
82720	120544
73984	121600
74304	121312
74688	121728
75168	120928
75008	121440
75904	121312
78944	121664
79584	121440
80288	121472
79968	121824
82400	121024
82752	121600
74880	122624
75840	122080
75936	122816
77024	121984
77600	122080
77312	122720
78048	122016
78592	121952
79808	122816
80800	121920
81120	122080
81472	122816
82880	122176
74592	123488
74784	123104
76032	123424
76480	123360
76960	123232
77600	123328
78144	123680
80096	123296
80736	122912
80864	123648
81824	123104
82304	123552
82688	122880
74464	123968
75232	124384
74848	124672
80128	124192
80032	124736
80448	124320
81088	124512
82464	123936
82752	124608
74624	125184
74464	125696
76256	125888
76864	125792
77280	125856
79296	125312
78944	125568
79648	124992
79904	125248
79936	125824
81312	125376
83008	125152
83392	125888
75552	126560
77696	126528
78688	126016
78336	126592
78880	126912
79488	126784
79872	126432
81248	126304
81696	126784
83296	126688
74688	127872
75008	127744
75264	127264
77056	127200
76832	127296
76864	127936
78240	127616
77920	127648
79328	127808
80256	127616
80512	126976
81856	127808
82336	127936
83200	127328
74912	128384
74816	128480
75936	128544
76832	128512
77184	128928
78016	128320
81696	128832
82144	128384
82688	128032
82432	128672
74432	129536
75360	129440
76032	129184
75936	129632
76672	129120
77728	129152
77696	129728
77984	129504
78368	129088
78912	129600
79968	129568
80256	129664
80800	129664
81344	129120
81024	129472
81472	129120
73280	130784
73728	131040
74304	130400
