XPOS	YPOS
30848	84576
30752	84640
30496	84960
30304	85120
30464	85408
30048	85376
29792	85536
30464	85792
30560	86144
29600	85376
29536	85792
29248	85760
29568	86176
28896	85952
28704	85504
28736	85024
29120	84928
29312	84672
29344	85440
29568	85664
28640	84608
31456	86752
31392	86912
31680	86912
31776	87328
32160	87648
32000	88256
32224	88640
32544	89248
33088	89568
33312	89408
33568	89696
33600	90080
33952	90336
34336	90464
34592	90176
34496	89824
34336	89408
34016	89120
33824	88928
33600	88992
34080	90432
34272	90976
34464	91360
34912	91520
35360	90912
35488	90496
35072	90272
34560	91904
34880	92608
34976	93120
35648	93504
35904	93760
34624	93504
34304	93408
33952	93920
33504	93536
33280	92960
33664	92640
34048	92288
36416	94144
36128	94848
36256	95616
36928	95008
35808	95872
35552	96544
35008	96640
35232	97088
35712	98336
36064	98496
36192	98976
36672	98784
36960	99488
37408	99264
36160	98368
37088	94784
36864	94240
37088	93952
37344	94432
37504	93792
37856	93728
38400	94208
38304	94752
38048	95328
39040	94752
39456	95104
39968	94976
40064	95520
39968	96096
39392	96192
38944	96000
38432	95584
40672	94272
41120	93920
41408	93728
41248	93120
40768	92768
40608	93472
40384	92544
39936	91968
39520	91552
39104	91104
38784	90560
39328	90368
39136	90720
39008	89952
39168	89216
38624	89152
38592	88544
38272	88352
37920	88448
37920	87968
37472	87744
37344	87104
37024	87200
36832	86720
36352	86752
36064	87232
35584	87040
35040	87104
34944	86592
35424	85952
35264	85216
35616	84512
36128	84320
36384	84928
36928	85216
37472	85792
40768	96768
41056	97312
41312	97472
42048	97952
42528	98112
42368	98752
42784	99264
42528	99936
42624	100608
43200	101120
43264	98784
43712	98336
43680	97856
43104	97504
42496	97760
44992	98944
45344	99584
45888	100000
46336	100576
46720	101120
46144	101056
46336	101664
45856	102144
45440	102432
45664	103072
45024	103008
44704	103680
44448	103776
44064	103744
44224	104416
44672	104320
45056	104736
45376	105120
45920	105248
46208	104736
46112	104384
46560	104320
46304	103776
45824	103520
45568	102912
46880	104480
47200	104960
47680	105472
47904	105376
48224	104960
48416	104832
48256	104256
47872	103840
47424	103488
48128	103136
48768	102848
48928	102208
49568	102048
49952	101696
50016	102432
50528	102624
50784	103104
61920	91168
61504	90688
60960	90240
60672	89728
60128	89664
60320	89408
59552	89856
59264	90336
59264	89568
58816	89696
58560	89184
58176	89216
58016	88832
57728	88448
57280	88672
57536	88000
57472	87360
57632	87008
57856	86560
56992	87328
56608	87776
56384	88160
56736	88672
55872	88192
55520	87904
55040	87456
54688	86848
54368	86816
54592	86272
54112	86368
53824	86560
54464	85856
54976	85536
55328	85024
55712	84768
55456	84480
55872	84416
55456	83872
55072	83360
54752	83072
54464	82944
54144	82688
53408	85568
53024	85248
52928	84864
52928	84192
52544	83616
52256	83968
52160	84384
52416	84960
52224	83264
51776	82816
51456	82784
51104	82176
50848	82592
50688	82240
50432	81952
50816	81664
50560	83136
50208	83712
49888	83808
49440	84384
49728	80832
49280	80384
48768	80064
48416	79904
48000	80128
47680	79840
47552	80512
47136	80544
46880	80608
46912	81440
47136	82016
47360	82464
47552	82624
47040	82848
46688	82752
46688	83328
46208	83456
46080	83040
45920	82592
46048	82016
45728	82016
46112	81504
46272	81152
45920	80512
45984	80128
45408	79808
45120	79488
45184	79040
45184	78368
45440	77856
45344	77440
45856	77408
46144	77120
45792	76832
45536	76448
45632	76224
45024	75936
44608	78240
44224	78560
43584	78720
43680	79520
44288	79712
44928	79712
43168	78912
42688	78656
42400	78080
42912	77600
43424	77920
43616	78432
42400	77152
41920	77920
41664	77600
41504	77920
41536	78432
41152	77984
41056	78528
40768	79008
40352	78912
40640	80096
40928	80768
41088	81376
40704	81792
40352	81888
39936	82400
39584	82848
39200	83136
38912	82784
38816	82080
38944	81856
38880	81376
38880	80960
39520	80672
39040	79840
39840	79328
41824	81792
42304	82432
42752	82624
42976	83232
43488	83424
43360	83968
43456	84416
43712	84896
43936	85088
44320	85312
44608	85056
44736	84512
44224	84064
42720	85792
42336	86048
42272	86560
42400	87328
42816	87712
43040	88064
43392	88096
43680	88704
43968	88576
43904	88160
44352	88416
44256	88800
44608	88608
44928	88352
45248	88576
45472	88992
45792	88832
45760	88352
46176	88864
46240	89152
