SuiteNo	ActivateCount1	ActivateCount2
24	4	7
25	4	7
26	4	7
27	4	7
28	4	7
29	4	7
30	4	7
31	4	7
32	4	7
33	4	7
34	4	7
35	4	7
36	4	7
37	4	7
38	4	7
39	4	7
40	4	7
41	4	7
42	4	7
43	4	7
44	4	7
45	4	7
46	4	7
47	4	7
48	4	7
49	4	7
50	4	7
51	4	7
52	4	7
53	4	7
54	4	7
55	4	7
56	4	7
57	4	7
58	4	7
59	4	7
60	4	7
61	4	7
62	4	7
63	4	7
64	4	7
65	4	7
66	4	7
67	4	7
68	4	7
69	4	7
70	4	7
71	4	7
72	4	7
73	4	7
74	4	7
75	4	7
76	4	7
77	4	7
78	4	7
79	4	7
80	4	7
81	4	7
82	4	7
83	4	7
84	4	7
85	4	7
86	4	7
87	4	7
88	4	7
89	4	7
90	4	7
91	4	7
92	4	7
93	4	7
94	4	7
95	4	7
96	4	7
97	4	7
98	4	7
99	4	7
100	4	7
101	4	7
102	4	7
103	4	7
104	4	7
105	4	7
106	4	7
107	4	7
108	4	7
109	4	7
110	4	7
111	4	7
112	4	7
113	4	7
114	4	7
115	4	7
116	4	7
117	4	7
118	4	7
119	4	7
120	4	7
121	4	7
122	4	7
123	4	7
124	4	7
125	4	7
126	4	7
127	4	7
128	4	7
129	4	7
130	4	7
131	4	7
132	4	7
133	4	7
134	4	7
135	4	7
136	4	7
137	4	7
138	4	7
139	4	7
140	4	7
141	4	7
142	4	7
143	4	7
144	4	7
145	4	7
146	4	7
147	4	7
148	4	7
149	4	7
150	4	7
151	4	7
152	4	7
153	4	7
154	4	7
155	4	7
156	4	7
157	4	7
158	4	7
159	4	7
160	4	7
161	4	7
162	4	7
163	4	7
164	4	7
165	4	7
166	4	7
167	4	7
168	4	7
169	4	7
170	4	7
171	4	7
172	4	7
173	4	7
174	4	7
175	4	7
176	4	7
177	4	7
178	4	7
179	4	7
180	4	7
181	4	7
182	4	7
183	4	7
184	4	7
185	4	7
186	4	7
187	4	7
188	4	7
189	4	7
190	4	7
191	4	7
192	4	7
193	4	7
194	4	7
195	4	7
196	4	7
197	4	7
198	4	7
199	4	7
200	4	7
201	4	7
202	4	7
203	4	7
204	4	7
205	4	7
206	4	7
207	4	7
208	4	7
209	4	7
210	4	7
211	4	7
212	4	7
213	4	7
214	4	7
215	4	7
216	4	7
217	4	7
218	4	7
219	4	7
220	4	7
221	4	7
222	4	7
223	4	7
224	4	7
225	4	7
226	4	7
227	4	7
228	4	7
229	4	7
230	4	7
231	4	7
232	4	7
233	4	7
234	4	7
235	4	7
236	4	7
237	4	7
238	4	7
239	4	7
240	4	7
241	4	7
242	4	7
243	4	7
244	4	7
245	4	7
246	4	7
247	4	7
248	4	7
249	4	7
250	4	7
251	4	7
252	4	7
253	4	7
320	2	2
321	2	2
322	2	2
323	2	2
324	2	2
325	2	2
326	2	2
327	2	2
328	2	2
329	2	2
330	1	1
331	2	2
332	2	2
333	2	2
334	2	2
335	2	2
336	2	2
337	2	2
338	2	2
339	2	2
340	2	2
341	1	1
342	1	1
343	1	1
344	1	1
345	1	1
346	1	1
347	1	1
348	1	1
349	1	1
350	1	1
360	3	5
361	2	2
362	4	7
363	4	7
364	4	7
365	4	7
366	4	7
367	4	7
368	4	7
369	4	7
370	4	7
371	4	7
372	4	7
373	4	7
374	4	7
375	4	7
376	4	7
377	4	7
378	4	7
379	4	7
380	4	7
381	4	7
384	3	5
386	4	4
387	4	4
388	4	4
389	4	4
390	4	4
391	4	4
392	4	4
393	4	4
394	4	4
395	4	4
396	4	4
397	4	4
398	4	4
399	4	4
400	4	4
401	4	4
402	4	4
403	4	4
404	4	4
405	4	4
406	4	4
407	4	4
408	4	4
409	4	4
410	4	4
411	4	4
412	4	4
413	4	4
414	4	4
415	4	4
416	4	4
417	4	4
418	4	4
419	4	4
420	4	4
421	4	4
422	4	4
423	4	4
424	4	4
425	4	4
426	4	4
427	4	4
428	4	4
429	4	4
430	4	4
431	4	4
432	4	4
433	4	4
434	4	4
435	4	4
436	4	4
437	4	4
438	4	4
439	4	4
440	4	4
441	4	4
442	4	4
443	4	4
444	4	4
445	4	4
446	4	4
447	4	4
448	4	4
449	4	4
450	4	4
451	4	4
452	4	4
453	4	4
454	4	4
455	4	4
456	4	4
457	4	4
458	4	4
459	4	4
460	4	4
461	4	4
462	4	4
463	4	4
464	4	4
465	4	4
466	4	4
467	4	4
468	4	4
469	4	4
470	4	4
471	4	4
472	4	4
473	4	4
474	4	4
475	4	4
476	4	4
477	4	4
478	4	4
479	4	4
480	4	4
481	4	4
482	4	4
483	4	4
484	4	4
485	4	4
486	4	4
487	4	4
488	4	4
489	4	4
490	4	4
491	4	4
492	4	4
493	4	4
494	4	4
495	4	4
496	4	4
497	4	4
498	1	1
499	2	2
500	4	4
501	4	4
502	4	4
503	4	4
504	4	4
505	4	4
506	4	4
507	4	4
508	4	4
509	4	4
510	4	4
511	4	4
512	4	4
513	4	4
514	4	4
515	4	4
516	4	4
517	4	4
518	4	4
519	4	4
520	4	4
521	4	4
522	4	4
523	4	4
524	4	4
525	4	4
526	4	4
527	4	4
528	4	4
529	4	4
530	4	4
531	4	4
532	4	4
533	4	4
534	4	4
535	4	4
536	4	4
537	4	4
538	4	4
539	4	4
540	4	4
541	4	4
542	4	4
543	4	4
544	4	4
545	4	4
546	4	4
547	4	4
548	4	4
549	4	4
550	4	4
551	4	4
552	4	4
553	4	4
554	4	4
555	4	4
556	4	4
557	4	4
558	4	4
559	4	4
560	4	4
561	4	4
562	4	4
563	4	4
564	4	4
565	4	4
566	4	4
567	4	4
568	4	4
569	4	4
570	4	4
571	4	4
572	4	4
573	4	4
574	4	4
575	4	4
576	4	4
577	4	4
578	4	4
579	4	4
580	4	4
581	4	4
582	4	4
583	4	4
584	4	4
585	4	4
586	4	4
587	4	4
588	4	4
589	4	4
590	4	4
591	4	4
592	4	4
593	4	4
594	4	4
595	4	4
596	4	4
597	4	4
598	4	4
599	4	4
600	4	4
601	4	4
602	4	4
603	4	4
604	4	4
605	4	4
606	4	4
607	4	4
608	4	4
609	4	4
610	4	4
611	4	4
612	4	4
613	4	4
614	4	4
615	4	4
616	4	4
617	4	4
618	4	4
619	4	4
620	4	4
621	4	4
622	4	4
623	4	4
624	4	4
625	4	4
626	4	4
627	4	4
628	4	4
629	4	4
630	4	4
631	4	4
632	4	4
633	4	4
634	4	4
635	4	4
636	4	4
637	4	4
638	4	4
639	4	4
640	4	4
641	4	4
642	4	4
643	4	4
644	4	4
645	4	4
646	4	4
647	4	4
648	4	4
649	4	4
650	4	4
651	4	4
652	4	4
653	4	4
654	4	4
655	4	4
656	4	4
657	4	4
658	4	4
659	4	4
660	4	4
661	4	4
662	4	4
663	4	4
664	4	4
665	4	4
666	4	4
667	4	4
668	4	4
669	4	4
670	4	4
671	4	4
672	4	4
673	4	4
674	4	4
675	4	4
676	4	4
677	4	4
678	4	4
679	4	4
680	4	4
681	4	4
682	4	4
683	4	4
684	4	4
685	4	4
686	4	4
687	4	4
688	4	4
689	4	4
690	4	4
691	4	4
692	4	4
693	4	4
694	4	4
695	4	4
696	4	4
697	4	4
698	4	4
699	4	4
700	4	4
701	4	4
702	4	4
703	4	4
704	4	4
705	4	4
706	4	4
707	4	4
708	4	4
709	4	4
710	4	4
711	4	4
712	4	4
713	4	4
714	4	4
715	4	4
716	4	4
717	4	4
718	4	4
719	4	4
720	4	4
721	4	4
722	4	4
723	4	4
724	4	4
725	4	4
726	4	4
727	4	4
728	4	4
729	4	4
730	4	4
731	4	4
732	4	4
733	4	4
734	4	4
735	4	4
736	4	4
737	4	4
738	4	4
739	4	4
740	4	4
741	4	4
742	4	4
743	4	4
744	4	4
745	4	4
746	4	4
747	4	4
748	4	4
749	4	4
750	4	4
751	4	4
752	4	4
753	4	4
754	4	4
755	4	4
756	4	4
757	4	4
758	4	4
759	4	4
760	4	4
761	4	4
762	4	4
763	4	4
764	4	4
765	4	4
766	4	4
767	4	4
768	4	4
769	4	4
770	4	4
771	4	4
772	4	4
773	4	4
774	4	4
775	4	4
776	4	4
777	4	4
778	4	4
779	4	4
780	4	4
781	4	4
782	4	4
783	4	4
784	4	4
785	4	4
786	4	4
787	4	4
788	4	4
789	4	4
790	4	4
791	4	4
792	4	4
793	4	4
794	4	4
795	4	4
796	4	4
797	4	4
798	4	4
799	4	4
800	4	4
801	4	4
802	4	4
803	4	4
804	4	4
805	4	4
806	4	4
807	4	4
808	4	4
809	4	4
810	4	4
811	4	4
812	4	4
813	4	4
814	4	4
815	4	4
816	4	4
817	4	4
818	4	4
819	4	4
820	4	4
821	4	4
822	4	4
823	4	4
824	4	4
825	4	4
826	4	4
827	4	4
828	4	4
829	4	4
830	4	4
831	4	4
832	4	4
833	4	4
834	4	4
835	4	4
836	4	4
837	4	4
838	4	4
839	4	4
840	4	4
841	4	4
842	4	4
843	4	4
844	4	4
845	4	4
846	4	4
847	4	4
848	4	4
849	4	4
850	4	4
851	4	4
852	4	4
853	4	4
854	4	4
855	4	4
856	4	4
857	4	4
858	4	4
859	4	4
860	4	4
861	4	4
862	4	4
863	4	4
864	4	4
865	4	4
866	4	4
867	4	4
868	4	4
869	4	4
870	4	4
871	4	4
872	4	4
873	4	4
874	4	4
875	4	4
876	4	4
877	4	4
878	4	4
879	4	4
880	4	4
881	4	4
882	4	4
883	4	4
884	4	4
885	4	4
886	4	4
887	4	4
888	4	4
889	4	4
890	4	4
891	4	4
892	4	4
893	4	4
894	4	4
895	4	4
896	4	4
897	4	4
898	4	4
899	4	4
900	4	4
901	4	4
902	4	4
903	4	4
904	4	4
905	4	4
906	4	4
907	4	4
908	4	4
909	4	4
910	4	4
911	4	4
912	4	4
913	4	4
914	4	4
915	4	4
916	4	4
917	4	4
918	4	4
919	4	4
920	4	4
921	4	4
922	4	4
923	4	4
924	4	4
925	4	4
926	4	4
927	4	4
928	4	4
929	4	4
930	4	4
931	4	4
932	4	4
933	4	4
934	4	4
935	4	4
936	4	4
937	4	4
938	4	4
939	4	4
940	4	4
941	4	4
942	4	4
943	4	4
944	4	4
945	4	4
946	4	4
947	4	4
948	4	4
949	4	4
950	4	4
951	4	4
952	4	4
953	4	4
954	4	4
955	4	4
956	4	4
957	4	4
958	4	4
959	4	4
960	4	4
961	4	4
962	4	4
963	4	4
964	4	4
965	4	4
966	4	4
967	4	4
968	4	4
969	4	4
970	4	4
971	4	4
972	4	4
973	4	4
974	4	4
975	4	4
976	4	4
977	4	4
978	4	4
