武器装备编号	人物部件编号
1	2
2	3
3	3
4	3
5	3
6	4
7	4
8	4
9	5
10	5
11	22
12	6
13	6
14	6
15	6
16	7
17	7
18	7
19	8
20	8
21	24
22	12
23	12
24	12
25	12
26	13
27	13
28	13
29	14
30	14
31	28
32	9
33	9
34	9
35	9
36	10
37	10
38	10
39	11
40	11
41	26
42	18
43	18
44	18
45	18
46	19
47	19
48	19
49	20
50	20
51	32
52	15
53	15
54	15
55	15
56	16
57	16
58	16
59	17
60	17
61	30
62	2
63	2
64	2
65	2
66	2
67	2
68	2
69	2
70	2
71	2
72	245
73	245
74	245
75	245
76	245
77	245
78	245
79	245
80	245
81	245
82	245
83	245
84	245
85	245
86	245
87	245
88	245
89	245
90	245
91	245
