?û³Æ	ItemGenre	DetailType	¶¯»­ÎÄ¼??û	¶ÔÓ¦Îï¼?Ë÷??	¿í¶È	¸ß¶È	Ëµ?÷ÎÄ×Ö	ParticularType	ÎïÆ·×î´óµ?·ÅÖµ
Thóy Vò tr©m	4	0	\spr\item\questkey\taskobj001.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
§¹i M¹n ®µ la hoa	4	1	\spr\item\questkey\taskobj002.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
C¸ Ng©n TuyÕt	4	2	\spr\item\questkey\taskobj003.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Bİch th­êng Phông §iÖp 	4	3	\spr\item\questkey\taskobj004.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Trïng ®á 	4	4	\spr\item\questkey\taskobj005.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Vò §ång Quan ©m 	4	5	\spr\item\questkey\taskobj006.spr	41	1	2	VËt phÈm nhiÖm vô  	0	0
Kh¨n t¬ cÊm ®Şa 	4	6	\spr\item\questkey\taskobj007.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
X­¬ng ®Çu l¹c ®µ	4	7	\spr\item\questkey\taskobj008.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Kim T¬ HÇu	4	8	\spr\item\questkey\taskobj009.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
HuyÕt Hån ThÇn KiÕm	4	9	\spr\item\questkey\taskobj010.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
1 nóm tãc	4	10	\spr\item\questkey\taskobj011.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Phôc Hy táa 	4	11	\spr\item\questkey\taskobj012.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Viªm §Õ táa 	4	12	\spr\item\questkey\taskobj013.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
ThiÕu H¹o táa 	4	13	\spr\item\questkey\taskobj014.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Chuyªn Hóc táa 	4	14	\spr\item\questkey\taskobj015.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Hoµng ®Õ táa 	4	15	\spr\item\questkey\taskobj016.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Ngò S¾c Th¹ch 	4	16	\spr\item\questkey\taskobj017.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
B¹ch Ngäc Nh­ ı	4	17	\spr\item\questkey\taskobj018.spr	41	1	1	VËt chøng ®Ó gia  nhËp Nga Mi.	0	0
M¶nh g­¬ng (tr¸i) 	4	18	\spr\item\questkey\taskobj019.spr	41	1	1	M¶nh g­¬ng bªn tr¸i. VËt phÈm nhiÖm vô.	0	0
M¶nh g­¬ng (ph¶i) 	4	19	\spr\item\questkey\taskobj019-1.spr	41	1	1	M¶nh g­¬ng bªn ph¶i.VËt phÈm nhiÖm vô.	0	0
G­¬ng §ång	4	20	\spr\item\questkey\taskobj020.spr	41	1	1	1 tÊm g­¬ng §ång hoµn chØnh.	0	0
Phï Dung CÈm Kª ®å 	4	21	\spr\item\questkey\taskobj021.spr	41	1	1	VËt phÈm nhiÖm vô 	0	0
B¸ch §iÓu TriÒu Phông	4	22	\spr\item\questkey\taskobj022.spr	41	1	1	VËt phÈm nhiÖm vô. 	0	0
Kim TuyÕn Tó T­îng Kim Cang Kinh 	4	23	\spr\item\questkey\taskobj023.spr	41	1	1	VËt phÈm nhiÖm vô 	0	0
Yªn Ngäc ChØ hoµn 	4	24	\spr\item\questkey\taskobj024.spr	41	1	1	T?n vËt cña ch­ëng m«n Nga mi. VËt phÈm nhiÖm vô 	0	0
Toµn th¹ch 	4	25	\spr\item\questkey\taskobj025.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Kim Liªn hoa 	4	26	\spr\item\questkey\taskobj026.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
B¸t Nh· Ba La MËt T©m kinh	4	27	\spr\item\questkey\taskobj027.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
DŞch C©n Kinh	4	28	\spr\item\questkey\taskobj028.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Trµng h¹t 	4	29	\spr\item\questkey\taskobj029.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
ThiÒn tr­îng 	4	30	\spr\item\questkey\taskobj030.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Méc ng­ 	4	31	\spr\item\questkey\taskobj031.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
B¸t nhµ s­ 	4	32	\spr\item\questkey\taskobj032.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
GËy Tróc Xanh 	4	33	\spr\item\questkey\taskobj033.spr	41	1	2	T?n vËt gia nhËp §­êng m«n 	0	0
GËy Tróc Tr¾ng 	4	34	\spr\item\questkey\taskobj034.spr	41	1	2	T?n vËt gia nhËp §­êng m«n.	0	0
GËy Tróc Tİm 	4	35	\spr\item\questkey\taskobj035.spr	41	1	2	T?n vËt gia nhËp §­êng m«n.	0	0
Ma Vò Ch©m	4	36	\spr\item\questkey\taskobj036.spr	41	1	2	§­êng M«n §éc M«n ¸m kh?.	0	0
Kh¨n t¬ Qu¸i th¹ch trËn 1 	4	37	\spr\item\questkey\taskobj040.spr	41	1	1	"Trªn kh¨n c? thªu ch÷ ""ThiÖn"" "	0	0
Kh¨n t¬ Qu¸i th¹ch trËn 2 	4	38	\spr\item\questkey\taskobj038.spr	41	1	1	"Trªn kh¨n c? thªu ch÷ ""SÊm"" "	0	0
Kh¨n t¬ Qu¸i th¹ch trËn 3 	4	39	\spr\item\questkey\taskobj037.spr	41	1	1	"Trªn kh¨n c? thªu ch÷ ""Gi¶"" "	0	0
Kh¨n t¬ Qu¸i th¹ch trËn 4	4	40	\spr\item\questkey\taskobj039.spr	41	1	1	"Trªn kh¨n c? thªu ch÷ ""Tö"" "	0	0
Kim H¹ng Khuyªn	4	41	\spr\item\questkey\taskobj041.spr	41	1	1	VËt phÈm nhiÖm vô 	0	0
Háa Khİ Phæ 	4	42	\spr\item\questkey\taskobj042.spr	41	1	1	"§­êng M«n MËt t?ch, vËt phÈm nhiÖm vô."	0	0
Da Cãc	4	43	\spr\item\questkey\taskobj043.spr	41	1	1	VËt phÈm nhiÖm vô 	0	0
Gan R¾n ®éc	4	44	\spr\item\questkey\taskobj044.spr	41	1	1	VËt phÈm nhiÖm vô 	0	0
Hoa Anh Tóc	4	45	\spr\item\questkey\taskobj045.spr	41	1	1	VËt phÈm nhiÖm vô 	0	0
§u«i RÕt ®éc 	4	46	\spr\item\questkey\taskobj046.spr	41	1	1	VËt phÈm nhiÖm vô 	0	0
§Çu Thiªn tµm 	4	47	\spr\item\questkey\taskobj047.spr	41	1	1	VËt phÈm nhiÖm vô 	0	0
¸m Khİ Phæ 	4	48	\spr\item\questkey\taskobj048.spr	41	1	1	"§­êng M«n MËt t?ch, ghi t©t c¶ c¸c b? quy?t ch? t¹o ¸m kh?."	0	0
ThÊt Tinh TuyÖt MÖnh KiÕm 	4	49	\spr\item\questkey\taskobj049.spr	41	1	1	Mét thanh ki?m ®· rØ s?t.	0	0
Vò V­¬ng KiÕm 	4	50	\spr\item\questkey\taskobj050.spr	41	1	1	"Mét thanh b¶o ki?m cæ, ®­îc l­u gi÷ trªn Hoa s¬n."	0	0
M¶nh lÖnh bµi 1 	4	51	\spr\item\questkey\taskobj051-1.spr	41	1	1	VËt phÈm nhiÖm vô.	0	0
M¶nh lÖnh bµi 2 	4	52	\spr\item\questkey\taskobj051-2.spr	41	1	1	VËt phÈm nhiÖm vô.	0	0
M¶nh lÖnh bµi 3 	4	53	\spr\item\questkey\taskobj051-3.spr	41	1	1	VËt phÈm nhiÖm vô.	0	0
M¶nh lÖnh bµi 4	4	54	\spr\item\questkey\taskobj051-4.spr	41	1	1	VËt phÈm nhiÖm vô.	0	0
M¶nh lÖnh bµi 5	4	55	\spr\item\questkey\taskobj051-5.spr	41	1	1	VËt phÈm nhiÖm vô.	0	0
M¶nh lÖnh bµi 6	4	56	\spr\item\questkey\taskobj051-6.spr	41	1	1	VËt phÈm nhiÖm vô.	0	0
M¶nh lÖnh bµi 7	4	57	\spr\item\questkey\taskobj051.spr	41	1	2	VËt phÈm nhiÖm vô 	0	0
NhËt NguyÖt Song lu©n 	4	58	\spr\item\questkey\taskobj052.spr	41	1	1	Thiªn NhÉn ®éc m«n binh kh?.	0	0
C¸p Huy?t Hång 	4	59	\spr\item\questkey\taskobj053.spr	41	1	1	Lo¹i b¶o th¹ch mµu hång huy?t.	0	0
B¨ng Tinh Lam 	4	60	\spr\item\questkey\taskobj054.spr	41	1	1	1 lo¹i b¶o th¹ch mµu xanh.	0	0
Tæ MÉu Lôc  	4	61	\spr\item\questkey\taskobj055.spr	41	1	1	1 lo¹i b¶o th¹ch mµu lôc.	0	0
V©n Méng Tö 	4	62	\spr\item\questkey\taskobj056.spr	41	1	1	1 lo¹i b¶o th¹ch mµu t?m.	0	0
Ng©n tr©m	4	63	\spr\item\questkey\taskobj057.spr	41	1	2	Mét chi?c Ng©n tr©m cña n÷ giíi.	0	0
H­¬ng Nang	4	64	\spr\item\questkey\taskobj058.spr	41	1	2	VËt phÈm nhiÖm vô.	0	0
Thïng gç 	4	65	\spr\item\questkey\taskobj059.spr	41	1	1	VËt phÈm nhiÖm vô.	0	0
Thiªn Tµm §¹o bµo b? r¸ch	4	66	\spr\item\questkey\taskobj060.spr	41	1	2	Chi?c ®¹o bµo b? s?i c¾n r¸ch.	0	0
Thiªn Tµm 	4	67	\spr\item\questkey\taskobj061.spr	41	1	1	"Loµi t»m mµu tr¾ng, t¬ ch¾c v« song."	0	0
Thiªn Tµm §¹o bµo hoµn chØnh	4	68	\spr\item\questkey\taskobj062.spr	41	1	2	Chi?c ®¹o bµo ®· v¸ hoµn chØnh 	0	0
Ngäc Thanh Ch©n Kinh 	4	69	\spr\item\questkey\taskobj063.spr	41	1	1	§¹o gi¸o Tam Thanh B¶o §iÓn..	0	0
Th­îng Thanh Ch©n Kinh 	4	70	\spr\item\questkey\taskobj064.spr	41	1	1	§¹o gi¸o Tam Thanh B¶o §iÓn..	0	0
Th¸i Thanh Ch©n Kinh 	4	71	\spr\item\questkey\taskobj065.spr	41	1	1	§¹o gi¸o Tam Thanh B¶o §iÓn..	0	0
R©u c»m 	4	72	\spr\item\questkey\taskobj066.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
C¸i Qu¹t  	4	73	\spr\item\questkey\taskobj067.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Thñ ph¸ch 	4	74	\spr\item\questkey\taskobj068.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Ban chØ 	4	75	\spr\item\questkey\taskobj069.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
HuÖ TuyÒn Töu	4	76	\spr\item\questkey\taskobj070.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Kim L¨ng Xu©n 	4	77	\spr\item\questkey\taskobj071.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
B¸ch Hoa Nhung 	4	78	\spr\item\questkey\taskobj072.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Kinh Hoa Lé 	4	79	\spr\item\questkey\taskobj073.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Song C©u §¹i Khóc	4	80	\spr\item\questkey\taskobj074.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
V¨n th­ 	4	81	\spr\item\questkey\taskobj075.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
S¬n Hµ X· T¾c §å 	4	82	\spr\item\questkey\taskobj076.spr	41	2	1	VËt phÈm nhiÖm vô  	0	0
Tói v¶i 	4	83	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Khæng t­íc v?	4	84	\spr\item\questkey\taskobj078.spr	41	1	2	VËt phÈm nhiÖm vô  	0	0
§Çu ng­êi  	4	85	\spr\item\questkey\taskobj079.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
NhÖn	4	86	\spr\item\questkey\taskobj080.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Méc H­¬ng §Ønh 	4	87	\spr\item\questkey\taskobj081.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Ngäc San h« 	4	88	\spr\item\questkey\taskobj082.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
TrÊn gi¸o chi b¶o	4	89	\spr\item\questkey\taskobj083.spr	41	1	2	VËt phÈm nhiÖm vô  	0	0
Bång Lai Xu©n	4	90	\spr\item\questkey\taskobj084.spr	41	1	1	"Lµ ""Tiªn Töu"" ë §éng §×nh Hå, mïi v? th¬m nång, nuèt råi vÉn cßn ti?c, rÊt th?ch hîp víi c¸c v? ®¹i h¸n."	0	0
Kª Huy?t Th¹ch 	4	91	\spr\item\questkey\taskobj085.spr	41	1	1	"Lo¹i b¶o th¹ch qu? hi?m, c? thÓ xua ®uæi tµ ma"	0	0
Mét l¸ cê GÊm	4	92	\spr\item\questkey\taskobj086.spr	41	1	2	"Mét l¸ cê GÊm mµu hång, ph?a trªn c? thªu 4 ch÷ Vµng ""Yªu d©n nh­ con""."	0	0
Háa T?ch D?ch L©n Phi?n	4	93	\spr\item\questkey\taskobj087.spr	41	1	1	Mét tÊm da c? thÓ dïng ®Ó may ¸o gi¸p.	0	0
Lôc Thñ Quy	4	94	\spr\item\questkey\taskobj088.spr	41	1	1	"Mét lo¹i ®éng vËt qu? hi?m, vá n? cøng c? thÓ thÓ sö dông nhi?u ph­¬ng diÖn."	0	0
Ng? s¾c th¹ch	4	95	\spr\item\questkey\taskobj089.spr	41	1	1	"T­îng tr­ng cho h¹nh phóc, an b×nh. Ph¸t ra hµo quang ng? s¾c lung linh"	0	0
Thiªn V­¬ng di th­ 	4	96	\spr\item\questkey\taskobj090.spr	41	1	1	"MËt th­ cña Thiªn V­¬ng Bang, ghi l¹i c¸c ph­¬ng thøc bè trËn"	0	0
"Th­ t?n, MËt t?n, mËt hµm "	4	97	\spr\item\questkey\taskobj091.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Ch×a kh?a 1 	4	98	\spr\item\questkey\taskobj092.spr	41	1	1	"Dïng më b¶o r­¬ng lÊy ""Háa Kh? Phæ ""."	0	0
Ch×a kh?a 2 	4	99	\spr\item\questkey\taskobj092-1.spr	41	1	1	Ch×a kh?a ®Ó lªn tÇng 2 Tróc T¬ ®éng.	0	0
Ch×a kh?a 3 	4	100	\spr\item\questkey\taskobj092-2.spr	41	1	1	Ch×a kh?a ®Ó lªn tÇng 3 Tróc T¬ ®éng 	0	0
Ch×a khãa Thiªn V­¬ng bang	4	101	\spr\item\questkey\taskobj092-3.spr	41	1	1	Dïng ®Ó më b¶o r­¬ng.	0	0
Ch×a khãa Th¸nh ®éng 	4	102	\spr\item\questkey\taskobj092-4.spr	41	1	1	Dïng ®Ó më b¶o r­¬ng trong Th¸nh ®éng. 	0	0
Ch×a khãa	4	103	\spr\item\questkey\taskobj092-5.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Ch×a khãa	4	104	\spr\item\questkey\taskobj092-6.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Ch×a khãa	4	105	\spr\item\questkey\taskobj092.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
T×nh hoa	4	106	\spr\item\questkey\taskobj093.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
§­¬ng Quy 	4	107	\spr\item\questkey\taskobj094.spr	41	1	1	Mét lo¹i d­îc liÖu trong §«ng Y.	0	0
Xuyªn Khung 	4	108	\spr\item\questkey\taskobj095.spr	41	1	1	Mét lo¹i d­îc liÖu trong §«ng Y.	0	0
Ma Hoµng 	4	109	\spr\item\questkey\taskobj096.spr	41	1	1	Mét lo¹i d­îc liÖu trong §«ng Y.	0	0
Hoµi TÊt 	4	110	\spr\item\questkey\taskobj097.spr	41	1	1	Mét lo¹i d­îc liÖu trong §«ng Y.	0	0
