HEADER	MAGIC_DESC	¼ÓÉËº¦Ç¿»¯	¼ÓÃüÖÐÂÊ	¼Ó¹¥»÷ËÙ¶È	ºöÂÔ¶ÔÊÖ·ÀÓù	ÓÀ²»Ä¥Ëð	¼Ó·ÀÓùÇ¿»¯	¼Ó¿ìÅÜ²½ËÙ¶È	·´µ¯ÎïÀí¹¥»÷	¿ìËÙ´ò»÷»Ø¸´	¼ÓºÚ°µ´¦ÊÓÒ°·¶Î§	¼Ó¼¼ÄÜ	¼ÓËÄ·À	ÍµÑª	ÍµÄÚÁ¦	¼ÓÉúÃü×î´óÖµÉÏÏÞ	¼ÓÄÚÁ¦ÉÏÏÞ	¼ÓÌåÁ¦ÉÏÏÞ	¼ÓÉúÃü»Ö¸´ËÙ¶È	¼ÓÄÚÁ¦»Ö¸´ËÙ¶È	¼ÓÌåÁ¦»Ö¸´ËÙ¶È	¼ÓÁ¦Á¿	¼ÓÎïÀíÉËº¦	¼Ó¶¾ÉËº¦	¼Ó±ùÉËº¦	¼Ó»ðÉËº¦	¼ÓµçÉËº¦	ÎïÀíÉËº¦ÎüÊÕ£¨×ª»¯ÎªÄÚÁ¦Ìá¸ß£©	ÎïÃâ°Ù·Ö±È	¼Ó¿¹¶¾ÐÔ	¼Ó¿¹±ùÐÔ	¼Ó¿¹»ðÐÔ	¼Ó¿¹µçÐÔ	¼ÓÌåÖÊ	ÃâÒßÑ£ÔÎ×´Ì¬	¼ÓÔËÆø	½µµÍ±ù¶³Ê±¼ä	¼ÓÃô½Ý	½µµÍÖÐ¶¾Ê±¼ä	¼Ó½ðÏµ¼¼ÄÜ	¼ÓË®Ïµ¼¼ÄÜ	¼ÓÄ¾Ïµ¼¼ÄÜ	¼Ó»ðÏµ¼¼ÄÜ	¼ÓÍÁÏµ¼¼ÄÜ	¼Ó½ðÏµ¼¼ÄÜÉËº¦	¼ÓË®Ïµ¼¼ÄÜÉËº¦	¼Ó»ðÏµ¼¼ÄÜÉËº¦	¼ÓÍÁÏµ¼¼ÄÜÉËº¦	¼ÓÄ¾Ïµ¼¼ÄÜÉËº¦
MAGIC_DESC	MAGIC_ID	126	166	115	58	43	150	111	117	113	112	139	114	136	137	85	89	93	88	92	96	97	121	125	123	122	124	134	104	101	105	102	103	99	110	135	106	98	108	140	142	141	143	144	168	169	170	171	172
T¨ng hiÖu qu¶ s¸t th­¬ng	126	100	110	120	110	100	100	100	100	100	100	100	100	120	120	110	105	100	100	100	100	100	150	120	500	100	100	100	100	100	100	120	100	105	110	100	100	100	100	100	100	100	100	100	100	100	100	100	100
T¨ng chÝnh x¸c	166		100	105	120	100	100	100	100	100	100	100	100	105	105	110	105	100	100	100	100	100	110	105	120	100	100	100	100	100	100	110	100	105	105	100	100	100	100	100	100	100	100	100	100	100	100	100	100
T¨ng tèc ®é c«ng kÝch	115			100	100	100	100	100	100	100	100	100	100	110	110	110	105	100	100	100	100	100	900	400	1200	100	100	100	100	110	100	150	130	105	110	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Bá qua phßng thñ ®èi ph­¬ng	58				100	100	100	100	100	100	100	100	100	105	100	105	100	100	100	100	100	100	105	105	110	100	100	100	100	100	100	100	100	105	110	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Kh«ng thÓ ph¸ hñy	43					100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
T¨ng phßng thñ ®èi ®a	150						100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
T¨ng tèc ®é ch¹y bé 	111							100	100	100	100	100	100	100	100	150	110	100	180	100	100	100	100	100	100	100	100	120	350	240	320	320	600	110	150	100	200	150	120	100	100	100	100	100	100	100	100	100	100
Ph¶n ®ßn VËt lý 	117								100	200	100	100	100	100	100	120	110	100	100	100	100	100	100	100	100	100	100	100	120	120	120	120	120	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Phôc håi tr¹ng th¸i c«ng kÝch	113									100	100	100	100	100	100	150	110	100	180	100	100	100	100	100	100	100	100	120	450	300	400	400	750	130	150	100	200	110	150	100	100	100	100	100	100	100	100	100	100
