ITEM_TYPE	GENRE	DETAIL	PARTICULAR	NAME
Chñng lo¹i vËt phÈm	Lo¹i lín	Ph©n lo¹i	Lo¹i nhá 	Tªn
PK	1	5	0	Tr­êng MÖnh hoµn
PK	1	5	0	Gia Bµo hoµn
PK	1	5	0	§¹i Lùc hoµn
PK	1	5	0	Cao ThiÓm hoµn
PK	1	5	0	Cao Trung hoµn
PK	1	6	0	Phi Tèc hoµn
PK	1	6	0	B¨ng Phßng hoµn
PK	1	6	0	L«i Phßng hoµn
PK	1	6	0	Háa Phßng hoµn
PK	1	6	0	§éc Phßng hoµn
PK	6	0	1	Tr­êng MÖnh hoµn
PK	6	0	2	Gia Bµo hoµn
PK	6	0	3	§¹i Lùc hoµn
PK	6	0	4	Cao ThiÓm hoµn
PK	6	0	5	Cao Trung hoµn
PK	6	0	6	Phi Tèc hoµn
PK	6	0	7	B¨ng Phßng hoµn
PK	6	0	8	L«i Phßng hoµn
PK	6	0	9	Háa Phßng hoµn
PK	6	0	10	§éc Phßng hoµn
PK	6	0	60	B¸nh ch­ng H¹t dÎ 
PK	6	0	61	B¸nh ch­ng ThÞt heo
PK	6	0	62	B¸nh ch­ng ThÞt bß 
PK	6	1	63	B¸nh ch­ng ThËp cÈm
PK	6	1	73	B¸ch Qu¶ Lé 
PK	6	1	115	Yªn Hång ®an
PK	6	1	116	X¸ Lam ®an
PK	6	1	117	Néi Phæ hoµn
PK	6	1	118	Néi §éc hoµn
PK	6	1	119	Néi B¨ng hoµn
PK	6	1	120	Néi Háa hoµn
PK	6	1	121	Néi L«i hoµn
PK	6	1	218	C«ng Tèc hoµn
PK	6	1	219	Bµo Tèc hoµn
PK	6	1	220	Phæ Phßng hoµn
PK	6	1	221	§éc Phßng hoµn
PK	6	1	222	B¨ng Phßng hoµn
PK	6	1	223	Háa Phßng hoµn
PK	6	1	224	L«i Phßng hoµn
PK	6	1	225	Gi¶m Th­¬ng hoµn
PK	6	1	226	Gi¶m H«n hoµn
PK	6	1	227	Gi¶m §éc hoµn
PK	6	1	228	Gi¶m B¨ng hoµn
PK	6	1	229	Phæ C«ng hoµn
PK	6	1	230	§éc C«ng hoµn
PK	6	1	231	B¨ng C«ng hoµn
PK	6	1	232	Háa C«ng hoµn
PK	6	1	233	L«i C«ng hoµn
PK	6	1	234	Tr­êng MÖnh hoµn
PK	6	1	235	Tr­êng Néi hoµn
PK	6	1	885	TÝn Sø Méc yªu bµi
PK	6	1	886	TÝn Sø §ång yªu bµi
PK	6	1	887	TÝn Sø Ng©n yªu bµi
PK	6	1	888	TÝn Sø Kim yªu bµi
PK	6	1	889	Ngù Tø TÝn Sø yªu bµi
PK	6	1	1024	B¸nh tÐt nh©n ®Ëu
PK	6	1	1106	V« Song S¸t TrËn
PK	6	1	1110	S©m töu

PKEX	6	1	2837	Hoµn Hån §¬n
PKEX	6	1	2831	Tiªu Diªu T¸n
PKEX	6	1	2830	Hoµn Hån §¬n LÔ Bao
				
LEAGUE	6	1	2952	KÝch C«ng Trî Lùc Hoµn
LEAGUE	6	1	2953	¢m D­¬ng Ho¹t HuyÕt §¬n

CITYWAR	6	1	29	Hçn Th¹ch LiÖt 
CITYWAR	6	1	30	NghiÖt Long Xung Xa
CITYWAR	6	1	31	V©n Kú Binh phï 
CITYWAR	6	1	32	Ngoan Cæ Binh phï 

SONGJIN	6	1	156	ChiÕn cæ 
SONGJIN	6	1	157	LÖnh bµi
SONGJIN	6	1	160	Kim Chi ChiÕn Hån 
SONGJIN	6	1	161	Méc Chi ChiÕn Hån 
SONGJIN	6	1	162	Thñy Chi ChiÕn Hån 
SONGJIN	6	1	163	Háa Chi ChiÕn Hån 
SONGJIN	6	1	164	Thæ Chi ChiÕn Hån 
SONGJIN	6	1	165	Kim Chi Hé gi¸p  
