QId	Tip	Content	ChooseCount	Price	Choose1	Choose2	Choose3	Choose4	Choose5	Choose6	Choose7	Choose8	Choose9	Choose10	BeginSaleTime	EndSaleTime	BeginPayForTime	EndPayForTime	Answer	BonusRate	MaxBonus
1	14号奖牌榜	14号中国队在雅典盛会上获得的金银铜牌数量单双的竞猜	8	5000	单单单	单双单	单单双	双单单	双双单	双单双	单双双	双双双			408130700	408132400	408150900	408222200	0	50	10000000
3	15号奖牌榜	15号中国队在雅典盛会上获得的金银铜牌数量单双的竞猜	8	5000	单单单	单双单	单单双	双单单	双双单	双单双	单双双	双双双			408140700	408142400	408160900	408222200	3	50	10000000
5	16号奖牌榜	16号中国队在雅典盛会上获得的金银铜牌数量单双的竞猜	8	5000	单单单	单双单	单单双	双单单	双双单	双单双	单双双	双双双			408150700	408152400	408170900	408222200	7	50	10000000
7	17号奖牌榜	17号中国队在雅典盛会上获得的金银铜牌数量单双的竞猜	8	5000	单单单	单双单	单单双	双单单	双双单	双单双	单双双	双双双			408160700	408162400	408200900	408222200	2	50	10000000
9	18号奖牌榜	18号中国队在雅典盛会上获得的金银铜牌数量单双的竞猜	8	5000	单单单	单双单	单单双	双单单	双双单	双单双	单双双	双双双			408170700	408172400	408200900	408222200	3	50	10000000
11	19号奖牌榜	19号中国队在雅典盛会上获得的金银铜牌数量单双的竞猜	8	5000	单单单	单双单	单单双	双单单	双双单	双单双	单双双	双双双			408180700	408182400	408200900	408222200	7	50	10000000
13	20号奖牌榜	20号中国队在雅典盛会上获得的金银铜牌数量单双的竞猜	8	5000	单单单	单双单	单单双	双单单	双双单	双单双	单双双	双双双			408190700	408192400	408210900	408222200	7	50	10000000
15	21号奖牌榜	21号中国队在雅典盛会上获得的金银铜牌数量单双的竞猜	8	5000	单单单	单双单	单单双	双单单	双双单	双单双	单双双	双双双			408200700	408202400	408220900	408232200	7	50	10000000
17	22号奖牌榜	22号中国队在雅典盛会上获得的金银铜牌数量单双的竞猜	8	5000	单单单	单双单	单单双	双单单	双双单	双单双	单双双	双双双			408210700	408212400	408230900	408242200	6	50	10000000
19	23号奖牌榜	23号中国队在雅典盛会上获得的金银铜牌数量单双的竞猜	8	5000	单单单	单双单	单单双	双单单	双双单	双单双	单双双	双双双			408220700	408222400	408240900	408252200	3	50	10000000
21	24号奖牌榜	24号中国队在雅典盛会上获得的金银铜牌数量单双的竞猜	8	5000	单单单	单双单	单单双	双单单	双双单	双单双	单双双	双双双			408230700	408232400	408250900	408262200	7	50	10000000
