TRAPX	TRAPY
49408	115168
49408	116480
50144	114336
50016	116928
50624	117344
50880	113888
51648	113248
51328	115040
51648	118080
51968	119712
52384	112256
52224	115552
52288	117344
52320	118592
52576	119488
52512	120448
52896	113888
52992	113728
52864	115264
53184	114752
53088	118080
52960	120896
53568	111328
53504	116736
53344	116928
53440	121088
54144	110848
54080	113088
53984	115072
53952	116160
54112	118464
53984	119616
54144	120032
54080	121568
54400	113472
54720	114528
54400	115776
54272	117792
54528	122592
54784	111552
54784	110624
55040	113248
54944	113824
55072	115104
54944	116352
54816	117984
55008	117792
55200	119840
55744	113760
55328	116896
55776	117120
55456	118368
55424	119328
56160	114208
55936	118816
55808	119296
56640	114592
56640	115456
56736	116640
56448	117696
56640	120320
56576	124256
56864	118304
57216	119168
57120	120288
56832	122528
56960	124032
57408	114688
57408	116384
57760	116640
57568	119680
57696	121696
57440	120928
57568	123648
57344	124864
57728	125216
57888	114688
58176	118688
58048	120224
58336	121120
58080	122336
58560	114560
58432	115392
58368	116064
58784	115712
58720	122976
58528	123808
58720	124704
58432	125216
58368	126016
59200	117248
59296	118368
58880	118848
59072	120384
59008	126496
59552	119872
59616	122560
59520	123520
59872	123104
59392	124832
59424	126912
60128	118624
59904	117856
60064	119360
59968	121120
60128	123136
60000	124160
59904	126784
60736	118720
60768	123648
60416	125792
