TRAPX	TRAPY
55264	109504
55232	109472
55200	109440
55168	109408
55136	109376
55264	109472
55232	109440
55200	109408
55168	109376
55136	109344
55264	123392
55264	123424
55232	123424
55232	123456
55200	123456
55200	123488
55168	123520
55168	123552
55136	123552
55136	123584
55104	123584
55296	109504
55328	109536
55296	109536
55360	109568
55392	109600
55360	109600
55328	109568
55392	109632
55424	109664
55456	109696
55488	109728
55520	109760
55424	109632
55456	109664
55488	109696
55520	109728
55552	109760
55392	123296
55360	123328
55328	123360
55360	123296
55328	123328
55296	123360
55296	123392
55392	123264
55424	123264
55424	123232
55456	123232
55456	123200
55488	123200
55488	123168
55520	123136
55520	123168
55552	123136
55552	123104
55968	108512
56000	108512
55968	108480
55936	108480
56192	109536
56224	109504
56256	109472
56288	109440
56224	109536
56256	109504
56288	109472
56096	108640
56128	108672
56160	108704
56192	108736
56224	108736
56192	108704
56160	108672
56128	108640
56064	108608
56032	108576
56000	108544
56224	108768
56256	108800
56288	108832
56032	108544
56064	108576
56096	108608
56288	108800
56256	108768
56192	109568
56160	109568
56128	109600
56096	109632
56064	109664
56032	109696
56000	109728
56032	109728
56064	109696
56096	109664
56128	109632
56160	109600
56064	123232
56096	123264
56128	123296
56160	123328
56192	123360
56224	123392
56256	123392
56224	123360
56192	123328
56160	123296
56128	123264
56096	123232
56064	123200
56032	123200
56032	123168
56000	123168
55968	123136
56000	123136
55936	123104
55968	123104
55936	123072
55904	123072
56256	123424
56288	123456
56288	123424
56288	123808
56256	123840
56224	123872
56288	123840
56256	123872
56192	123904
56160	123936
56128	123968
56096	124000
56064	124032
56032	124064
56000	124096
55936	124160
55968	124128
55968	124160
56000	124096
56224	123904
56192	123936
56160	123968
56128	124000
56096	124032
56064	124064
56032	124064
56032	124064
56320	109408
56320	109440
56352	109376
56384	109344
56416	109312
56448	109280
56480	109248
56512	109216
56544	109184
56352	109408
56384	109376
56416	109344
56448	109312
56480	109280
56512	109248
56544	109216
56320	108864
56352	108896
56352	108864
56384	108896
56320	108832
56320	123488
56352	123520
56384	123552
56416	123584
56448	123616
56480	123616
56448	123584
56416	123552
56384	123520
56352	123488
56320	123456
56320	123776
56320	123808
69088	123424
69056	123456
69088	123392
69056	123424
69024	123456
69056	123872
69024	123840
68992	123808
69024	123872
68992	123840
68960	123808
69088	123904
69088	123936
69056	123904
69600	108960
69568	108992
69536	108992
69568	108960
69600	108928
69408	109536
69376	109504
69344	109504
69376	109536
69344	109472
69312	109472
69536	109024
69504	109056
69472	109088
69440	109120
69408	109152
69376	109184
69344	109216
69312	109248
69280	109280
69504	109024
69472	109056
69440	109088
69408	109120
69376	109152
69344	109184
69312	109216
69280	109248
69248	109280
69536	109664
69568	109696
69600	109728
69600	109760
69568	109728
69536	109696
69504	109664
69472	109632
69504	109632
69472	109600
69440	109568
69408	109568
69440	109600
69408	123104
69376	123136
69344	123168
69312	123200
69280	123232
69248	123264
69216	123264
69248	123232
69280	123200
69312	123168
69344	123136
69376	123104
69440	123072
69472	123040
69504	123008
69536	122976
69216	123296
69184	123328
69152	123360
69120	123392
69184	123296
69152	123328
69120	123360
69408	123072
69440	123040
69472	123008
69504	122976
69536	122944
69152	123968
69184	124000
69216	124032
69248	124064
69120	123968
69152	124000
69184	124032
69216	124064
69248	124096
69120	123936
69280	124128
69312	124128
69344	124192
69376	124224
69280	124096
69312	124128
69344	124160
69376	124192
69408	124224
69408	124256
69440	124256
69792	108768
69760	108800
69728	108832
69696	108864
69664	108896
69632	108928
69632	108896
69664	108864
69696	108832
69728	108800
69760	108768
69824	108736
69856	108704
69888	108672
69920	108640
69888	108640
69856	108672
69824	108704
69792	108736
69632	109760
69664	109792
69632	109792
69664	109824
69696	109824
69696	109856
69728	109856
69728	109888
69760	109888
69760	109920
69792	109920
69792	109952
69824	109952
69824	109984
69856	109984
69856	110016
70592	109536
70624	109504
70624	109536
70432	109696
70464	109664
70496	109632
70528	109600
70560	109568
70592	109568
70560	109600
70528	109632
70496	109664
70464	109696
70432	109728
70400	109728
70368	109760
70336	109792
70304	109824
70272	109856
70240	109888
70400	109760
70368	109792
70336	109824
70304	109856
70272	109888
70240	109920
70656	109472
70688	109440
70688	109472
70656	109504
