POSX	POSY	
44480	94336	
44512	95744	
44608	94208	
44608	97024	
44640	94464	
44672	96032	
44704	95392	
44736	96928	
44736	97248	
44768	94400	
44800	94144	
44800	94656	
44864	96800	
44864	97120	
44896	94240	
44928	94464	
44960	94816	
44960	96608	
44960	97344	
44992	95680	
45024	97120	
45056	94272	
45088	94944	
45088	96416	
45088	96608	
45088	96800	
45120	94560	
45152	94816	
45184	94144	
45184	96992	
45216	96608	
45248	96384	
45248	97248	
45280	95008	
45312	94848	
45312	96512	
45344	96256	
45376	94144	
45376	97344	
45408	96384	
45472	94752	
45472	94912	
45472	97088	
45504	96256	
45504	96512	
45504	97248	
45536	94176	
45568	94912	
45632	94176	
45632	96416	
45632	97216	
45664	94432	
45664	94688	
45664	96608	
45728	96800	
45760	95680	
45792	94304	
45792	97312	
45824	94656	
45824	96576	
45824	97152	
45856	94496	
45888	94144	
45888	96864	
45984	94304	
45984	95968	
46016	94528	
46016	95360	
46016	96896	
46080	94368	
46112	95680	
