nPosX	nPosY	map_ID
1702	3075	162
1706	3080	162
1712	3074	162
1705	3068	162
1705	3058	162
1714	3058	162
1717	3066	162
1723	3052	162
1720	3047	162
1716	3044	162
1719	3034	162
1725	3037	162
1732	3035	162
1735	3025	162
1729	3021	162
1722	3016	162
1713	3016	162
1719	3004	162
1734	3005	162
1742	3006	162
1751	3003	162
1747	2995	162
1742	2990	162
1740	2982	162
1728	2990	162
1715	2989	162
1712	2980	162
1724	2976	162
1736	2975	162
1764	2994	162
1771	3005	162
1778	2999	162
1778	2987	162
1782	2977	162
1789	2987	162
1786	3000	162
1794	3008	162
1805	3011	162
1690	3015	162
1723	3023	162
1705	3018	162
1702	3007	162
1703	2995	162
1697	2976	162
1693	2967	162
1686	2983	162
1673	2992	162
1668	2977	162
1669	3014	162
1679	3009	162
1428	3326	162
1427	3336	162
1418	3334	162
1418	3342	162
1411	3339	162
1414	3348	162
1401	3345	162
1407	3351	162
1410	3359	162
1416	3374	162
1420	3384	162
1426	3394	162
1419	3402	162
1430	3401	162
1425	3408	162
1410	3404	162
1407	3415	162
1405	3424	162
1392	3345	162
1400	3370	162
1391	3368	162
1382	3357	162
1385	3345	162
1376	3346	162
1372	3335	162
1364	3333	162
1363	3322	162
1359	3313	162
1354	3323	162
1352	3307	162
1353	3292	162
1345	3303	162
1337	3310	162
1333	3323	162
1325	3316	162
1330	3305	162
1346	3290	162
1348	3278	162
1338	3274	162
1343	3264	162
1344	3252	162
1336	3248	162
1337	3236	162
1331	3229	162
1336	3218	162
1341	3207	162
1330	3201	162
1342	3195	162
1352	3187	162
1319	3196	162
