XPOS	YPOS
51520	111040
51520	111296
51712	111040
51712	111296
52064	106496
52064	106720
52224	106496
52224	106720
53408	110592
53504	110720
53536	110400
53600	110560
53728	104832
53760	104608
53888	104864
53952	104672
55072	109056
55168	108928
55168	109184
55264	109056
55392	102624
55392	102944
55552	102592
55552	102848
58208	102304
58240	102752
58368	102272
58400	102560
58976	108512
59008	108608
59040	108448
59072	108544
59648	107456
59680	107232
59776	107456
59840	107264
60544	105248
60608	105152
60608	105408
60672	105280
61312	111712
61312	111968
61472	111840
61472	112000
61536	103328
61600	103232
61600	103456
61664	103328
61760	106848
61920	106560
61920	107008
62048	106656
62336	125024
62336	125312
62432	125184
62528	125024
63712	102240
63744	102112
63904	102208
63904	102336
64128	111424
64128	111648
64288	111424
64288	111648
64576	103456
64576	114496
64576	114688
64672	103584
64704	103232
64704	114496
64736	114720
64800	103360
65248	104064
65248	104224
65280	107200
65312	107040
65344	104064
65344	104224
65408	107200
65440	107072
65632	124704
65632	124960
65760	124704
65760	124960
65952	105408
66048	121440
66080	105216
66080	121152
66112	105568
66208	105344
66240	121440
66272	121216
66720	109696
66720	109856
66848	109728
66848	109856
66976	113120
66976	113376
67136	113120
67136	113376
