TRAPX	TRAPY
1645	3276
1638	3268
1636	3287
1628	3279
1637	3267
1627	3279
1620	3271
1628	3258
1618	3250
1618	3269
1609	3260
1706	3234
1714	3225
1698	3224
1705	3216
1553	3179
1546	3173
1545	3192
1537	3183
1520	3146
1531	3135
1530	3155
1539	3144
1538	3128
1546	3119
1545	3137
1553	3127
1535	3108
1541	3113
1551	3102
1545	3097
1520	3232
1511	3223
1520	3214
1529	3222
1530	3309
1599	3316
1592	3323
1602	3336
1610	3328
1449	3198
1439	3208
1405	3221
1460	3211
1450	3220
1492	3268
1500	3278
1481	3279
1489	3288
1522	3298
1531	3290
1510	3287
1519	3278
