TRAPX	TRAPY
50816	102624
50848	102304
50976	102048
51072	101920
51200	101792
51360	101696
51520	101664
51648	101696
51744	101824
51872	101984
51936	102208
51968	102400
52032	102624
52064	102816
52032	103040
52000	103264
51936	103424
51872	103712
51776	103904
51488	104000
51200	104160
51040	103712
50880	103424
50816	103136
50784	102848
50976	102784
51040	102912
51232	103136
51360	103200
51616	103168
51808	103072
51872	102816
51872	102528
51776	102272
51552	101984
51424	102016
51232	102144
51136	102240
51040	102560
51168	102688
51296	102880
51456	103040
51584	102944
51648	102720
51584	102464
51488	102368
51392	102624
51072	103424
51264	103584
51648	103680
