map_ID	nPosX	nPosY
1	1502	3262
1	1506	3268
1	1510	3277
1	1505	3282
1	1502	3274
1	1495	3280
1	1500	3287
1	1503	3290
1	1497	3302
1	1506	3303
1	1501	3313
1	1498	3325
1	1504	3323
1	1509	3328
1	1516	3331
1	1521	3327
1	1528	3334
1	1534	3323
1	1528	3318
1	1531	3309
1	1538	3310
1	1541	3302
1	1544	3307
1	1543	3318
1	1484	3287
1	1488	3277
1	1486	3267
1	1476	3277
1	1483	3261
1	1476	3258
1	1473	3245
1	1464	3248
1	1470	3234
1	1460	3235
1	1463	3225
1	1456	3225
1	1457	3215
1	1450	3216
1	1445	3256
1	1455	3257
1	1457	3268
1	1457	3268
1	1474	3283
1	1454	3285
1	1441	3300
1	1435	3283
1	1429	3278
1	1492	3287
1	1501	3331
1	1446	3291
