map_ID	nPosX	nPosY
78	1434	3149
78	1437	3145
78	1442	3139
78	1445	3127
78	1448	3122
78	1455	3113
78	1464	3117
78	1438	3121
78	1431	3128
78	1425	3135
78	1431	3140
78	1420	3149
78	1419	3160
78	1413	3138
78	1417	3129
78	1424	3113
78	1431	3106
78	1424	3103
78	1429	3096
78	1428	3089
78	1435	3087
78	1438	3079
78	1433	3075
78	1427	3069
78	1440	3062
78	1439	3051
78	1432	3047
78	1433	3038
78	1425	3027
78	1418	3037
78	1410	3033
78	1389	3128
78	1384	3125
78	1384	3136
78	1384	3149
78	1376	3152
78	1376	3145
78	1376	3131
78	1370	3145
78	1366	3156
78	1362	3146
78	1359	3133
78	1353	3140
78	1352	3153
78	1347	3160
78	1345	3147
78	1352	3117
78	1346	3106
78	1353	3098
78	1366	3095
