map_ID	nPosX	nPosY
80	1749	3274
80	1755	3268
80	1754	3280
80	1761	3276
80	1763	3288
80	1770	3284
80	1772	3296
80	1768	3307
80	1769	3317
80	1761	3323
80	1766	3333
80	1759	3341
80	1763	3354
80	1770	3363
80	1773	3373
80	1784	3377
80	1791	3385
80	1792	3371
80	1789	3363
80	1797	3357
80	1800	3349
80	1801	3338
80	1793	3330
80	1791	3324
80	1794	3312
80	1790	3310
80	1793	3296
80	1789	3291
80	1802	3296
80	1787	3284
80	1780	3280
80	1774	3275
80	1782	3268
80	1788	3263
80	1786	3255
80	1792	3246
80	1801	3248
80	1807	3238
80	1811	3249
80	1809	3343
80	1816	3348
80	1826	3354
80	1831	3341
80	1831	3323
80	1833	3309
80	1825	3294
80	1814	3282
80	1811	3266
80	1826	3222
80	1806	3260
